Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Lenawee County Sheriff Department,MD,10,,38,0,14,1,23,307,78,218,11,,,,,,,,,
Lennon Police Dept,MD,11,507,1,0,0,0,1,3,2,1,0,,,,,,,,,
Leslie Police Dept,MD,12,1857,2,0,1,1,0,27,8,19,0,107.7,.0,53.9,53.9,.0,1454.0,430.8,1023.2,.0
Lewiston Police Dept,MD,12,36519,80,0,15,43,22,1387,328,1018,41,219.1,.0,41.1,117.7,60.2,3798.0,898.2,2787.6,112.3
Limestone Police Dept,MD,12,2306,2,0,1,0,1,23,7,16,0,86.7,.0,43.4,.0,43.4,997.4,303.6,693.8,.0
Lincoln County Sheriff Department,MD,12,,31,0,6,2,23,305,117,181,7,,,,,,,,,
Lincoln Police Dept,MD,12,5084,4,0,1,1,2,240,50,183,7,78.7,.0,19.7,19.7,39.3,4720.7,983.5,3599.5,137.7
Lincoln Park City Police Dept,MD,12,37779,222,1,10,54,157,1549,384,972,193,587.6,2.6,26.5,142.9,415.6,4100.2,1016.4,2572.9,510.9
Lincoln Twp Police Dept,MD,12,14714,8,0,5,2,1,183,13,168,2,54.4,.0,34.0,13.6,6.8,1243.7,88.4,1141.8,13.6
Linden Police Dept,MD,12,3960,2,0,1,0,1,46,1,43,2,50.5,.0,25.3,.0,25.3,1161.6,25.3,1085.9,50.5
Lisbon Police Dept,MD,12,8993,9,0,5,1,3,162,53,101,8,100.1,.0,55.6,11.1,33.4,1801.4,589.3,1123.1,89.0
Litchfield Police Dept,MD,12,1366,2,0,0,0,2,21,4,17,0,146.4,.0,.0,.0,146.4,1537.3,292.8,1244.5,.0
Livermore Falls Police Dept,MD,12,3180,1,0,1,0,0,111,19,89,3,31.4,.0,31.4,.0,.0,3490.6,597.5,2798.7,94.3
Livingston County Sheriff Department,MD,12,,42,0,18,4,20,792,189,553,50,,,,,,,,,
Livonia Police Dept,MD,12,96028,146,3,19,32,92,2124,323,1601,200,152.0,3.1,19.8,33.3,95.8,2211.9,336.4,1667.2,208.3
Lonaconing Police Dept,MD,12,1220,1,0,0,0,1,0,0,0,0,82.0,.0,.0,.0,82.0,.0,.0,.0,.0
Lowell Police Dept,MD,12,3822,10,0,1,0,9,138,13,125,0,261.6,.0,26.2,.0,235.5,3610.7,340.1,3270.5,.0
Luce County Sheriff Office,MD,12,,4,0,2,0,2,25,4,21,0,,,,,,,,,
Ludington Police Dept,MD,2,8075,0,0,0,0,0,0,0,0,0,,,,,,,,,
Luke Police Dept,MD,12,65,0,0,0,0,0,0,0,0,0,.0,.0,.0,.0,.0,.0,.0,.0,.0
Luna Pier Police Dept,MD,12,1434,2,0,0,0,2,53,7,44,2,139.5,.0,.0,.0,139.5,3696.0,488.1,3068.3,139.5
Machias Police Dept,MD,12,2209,1,0,0,0,1,51,13,38,0,45.3,.0,.0,.0,45.3,2308.7,588.5,1720.2,.0
Mackinac County Sheriff Department,MD,12,,3,0,0,0,3,89,30,56,3,,,,,,,,,
Mackinac Island Police Dept,MD,12,489,1,0,1,0,0,258,2,255,1,204.5,.0,204.5,.0,.0,52760.7,409.0,52147.2,204.5
Mackinaw City Police Dept,MD,12,808,1,0,1,0,0,37,2,34,1,123.8,.0,123.8,.0,.0,4579.2,247.5,4207.9,123.8
Macomb County Sheriff Office,MD,12,,308,0,48,38,222,2259,441,1668,150,,,,,,,,,
Madawaska Police Dept,MD,12,4017,1,0,0,1,0,41,4,35,2,24.9,.0,.0,24.9,.0,1020.7,99.6,871.3,49.8
Madison Police Dept,MD,12,4840,1,0,1,0,0,121,36,81,4,20.7,.0,20.7,.0,.0,2500.0,743.8,1673.6,82.6
Madison Heights Police Dept,MD,12,29909,77,1,7,30,39,946,153,659,134,257.4,3.3,23.4,100.3,130.4,3162.9,511.6,2203.4,448.0
Madison Township,MD,12,8599,2,0,0,0,2,103,10,92,1,23.3,.0,.0,.0,23.3,1197.8,116.3,1069.9,11.6
Mancelona Police Dept,MD,12,1376,4,0,2,0,2,44,2,40,2,290.7,.0,145.3,.0,145.3,3197.7,145.3,2907.0,145.3
Manchester Police Dept,MD,12,4859,2,0,0,0,2,44,7,35,2,41.2,.0,.0,.0,41.2,905.5,144.1,720.3,41.2
Manistee County Sheriff Department,MD,12,,23,1,4,2,16,136,31,101,4,,,,,,,,,
Manistee Police Dept,MD,4,6225,0,0,0,0,0,0,0,0,0,,,,,,,,,
Manistique Public Safety Dept,MD,12,3100,8,0,5,1,2,91,18,72,1,258.1,.0,161.3,32.3,64.5,2935.5,580.6,2322.6,32.3
Manton Police Dept,MD,4,1288,0,0,0,0,0,0,0,0,0,,,,,,,,,
Marenisco Police Dept,MD,12,1722,0,0,0,0,0,7,5,2,0,.0,.0,.0,.0,.0,406.5,290.4,116.1,.0
Marine City Police Dept,MD,12,4215,16,0,4,0,12,124,14,106,4,379.6,.0,94.9,.0,284.7,2941.9,332.1,2514.8,94.9
Marlette Police Dept,MD,12,1855,14,0,4,0,10,36,5,31,0,754.7,.0,215.6,.0,539.1,1940.7,269.5,1671.2,.0
Marquette County Sheriff Department,MD,12,,7,1,4,0,2,188,29,151,8,,,,,,,,,
Marquette Police Dept,MD,12,21540,21,0,9,0,12,432,31,392,9,97.5,.0,41.8,.0,55.7,2005.6,143.9,1819.9,41.8
Marshall Police Dept,MD,12,7058,9,0,0,0,9,194,19,173,2,127.5,.0,.0,.0,127.5,2748.7,269.2,2451.1,28.3
Marysville City Police Dept,MD,12,9881,3,0,1,0,2,163,14,143,6,30.4,.0,10.1,.0,20.2,1649.6,141.7,1447.2,60.7
Mason,MD,12,,38,2,19,1,16,501,93,391,17,,,,,,,,,
Mason Police Dept,MD,12,8278,9,0,4,0,5,118,20,96,2,108.7,.0,48.3,.0,60.4,1425.5,241.6,1159.7,24.2
Mattawan Village Police Dept,MD,12,1994,0,0,0,0,0,43,5,36,2,.0,.0,.0,.0,.0,2156.5,250.8,1805.4,100.3
Mayville Police Dept,MD,12,945,0,0,0,0,0,9,1,8,0,.0,.0,.0,.0,.0,952.4,105.8,846.6,.0
Mechanic Falls Police Dept,MD,12,3025,2,0,0,0,2,44,11,31,2,66.1,.0,.0,.0,66.1,1454.5,363.6,1024.8,66.1
Mecosta County Sheriff Office,MD,12,,193,0,6,0,187,464,119,329,16,,,,,,,,,
Melvindale City Police Dept,MD,12,10612,40,0,4,12,24,392,88,253,51,376.9,.0,37.7,113.1,226.2,3693.9,829.2,2384.1,480.6
Mendon Village Police Dept,MD,4,870,3,0,3,0,0,6,1,5,0,,,,,,,,,
Menominee County Sheriff Department,MD,12,,15,0,6,0,9,162,69,91,2,,,,,,,,,
Meridian Twp Public Safety Dept,MD,12,39824,64,0,12,13,39,927,164,725,38,160.7,.0,30.1,32.6,97.9,2327.7,411.8,1820.5,95.4
Metamora Twp Police Dept,MD,12,4241,4,0,1,0,3,51,13,34,4,94.3,.0,23.6,.0,70.7,1202.5,306.5,801.7,94.3
Mexico Police Dept,MD,12,2677,7,0,5,0,2,189,45,138,6,261.5,.0,186.8,.0,74.7,7060.1,1681.0,5155.0,224.1
Michiana Police Dept,MD,11,182,0,0,0,0,0,0,0,0,0,,,,,,,,,
Midland City Police Dept,MD,12,42106,38,1,15,5,17,457,56,400,1,90.2,2.4,35.6,11.9,40.4,1085.4,133.0,950.0,2.4
Midland County Sheriff Office,MD,12,,52,1,25,0,26,415,132,275,8,,,,,,,,,
Milan Police Dept,MD,12,5870,16,1,1,1,13,143,22,114,7,272.6,17.0,17.0,17.0,221.5,2436.1,374.8,1942.1,119.3
Milbridge,MD,12,1344,0,0,0,0,0,0,0,0,0,.0,.0,.0,.0,.0,.0,.0,.0,.0
Milford Police Dept,MD,12,15848,7,0,3,1,3,152,35,110,7,44.2,.0,18.9,6.3,18.9,959.1,220.8,694.1,44.2
Millinocket Police Dept,MD,12,4502,2,0,0,0,2,90,22,64,4,44.4,.0,.0,.0,44.4,1999.1,488.7,1421.6,88.8
Milo Police Dept,MD,12,2327,9,0,1,0,8,49,11,36,2,386.8,.0,43.0,.0,343.8,2105.7,472.7,1547.1,85.9
Missaukee County Sheriff Office,MD,3,,0,0,0,0,0,29,10,19,0,,,,,,,,,
Monmouth Police Dept,MD,12,4096,1,0,0,0,1,60,18,38,4,24.4,.0,.0,.0,24.4,1464.8,439.5,927.7,97.7
Monroe County Sheriff Department,MD,12,,209,4,41,58,106,2614,708,1738,168,,,,,,,,,
Monroe Police Dept,MD,12,20687,108,1,10,25,72,831,234,560,37,522.1,4.8,48.3,120.8,348.0,4017.0,1131.1,2707.0,178.9
Montague Police Dept,MD,12,2350,2,0,0,0,2,77,8,69,0,85.1,.0,.0,.0,85.1,3276.6,340.4,2936.2,.0
Montcalm County Sheriff Office,MD,12,,43,1,11,1,30,459,141,301,17,,,,,,,,,
Montgomery County Police Department,MD,12,,1795,14,102,829,850,16695,2600,13083,1012,,,,,,,,,
Montmorency County Sheriff Office,MD,12,,3,0,1,0,2,24,21,3,0,,,,,,,,,
Montrose Twp Police Dept,MD,12,7818,7,0,0,2,5,135,56,75,4,89.5,.0,.0,25.6,64.0,1726.8,716.3,959.3,51.2
Morenci Police Dept,MD,12,2211,4,0,1,0,3,57,7,39,11,180.9,.0,45.2,.0,135.7,2578.0,316.6,1763.9,497.5
Morningside Police Dept,MD,12,2047,10,0,0,5,5,89,14,67,8,488.5,.0,.0,244.3,244.3,4347.8,683.9,3273.1,390.8
Mount Desert Police Dept,MD,12,2061,0,0,0,0,0,47,5,40,2,.0,.0,.0,.0,.0,2280.4,242.6,1940.8,97.0
Mount Morris City Police Dept,MD,12,3061,17,0,1,3,13,139,37,96,6,555.4,.0,32.7,98.0,424.7,4541.0,1208.8,3136.2,196.0
Mount Morris Twp Police Dept,MD,12,21326,152,2,15,57,78,1128,550,519,59,712.7,9.4,70.3,267.3,365.8,5289.3,2579.0,2433.6,276.7
Mt Pleasant Police Dept,MD,6,26130,23,0,9,1,13,238,56,176,6,,,,,,,,,
Mount Rainier Police Dept,MD,12,8234,73,1,1,39,32,277,62,149,66,886.6,12.1,12.1,473.6,388.6,3364.1,753.0,1809.6,801.6
Mundy Twp Police Dept,MD,12,14960,23,0,6,6,11,342,101,222,19,153.7,.0,40.1,40.1,73.5,2286.1,675.1,1484.0,127.0
Munising Police Dept,MD,12,2331,3,0,0,0,3,36,4,30,2,128.7,.0,.0,.0,128.7,1544.4,171.6,1287.0,85.8
Muskegan City Police Dept,MD,12,38253,359,1,39,80,239,2071,664,1309,98,938.5,2.6,102.0,209.1,624.8,5414.0,1735.8,3422.0,256.2
Muskegon County Sheriff Department,MD,12,,46,0,8,1,37,821,217,575,29,,,,,,,,,
Muskegon Heights Police Dept,MD,12,10806,200,1,15,52,132,692,274,359,59,1850.8,9.3,138.8,481.2,1221.5,6403.8,2535.6,3322.2,546.0
Muskegon Twp Police Dept,MD,12,17759,32,1,6,3,22,846,91,731,24,180.2,5.6,33.8,16.9,123.9,4763.8,512.4,4116.2,135.1
Napoleon Police Dept,MD,12,6759,3,0,1,0,2,41,8,33,0,44.4,.0,14.8,.0,29.6,606.6,118.4,488.2,.0
Nashville Police Dept,MD,12,1619,2,0,0,0,2,33,4,27,2,123.5,.0,.0,.0,123.5,2038.3,247.1,1667.7,123.5
Negaunee Police Dept,MD,12,4615,9,0,2,0,7,115,17,91,7,195.0,.0,43.3,.0,151.7,2491.9,368.4,1971.8,151.7
New Baltimore Police Dept,MD,12,12109,10,0,1,0,9,56,10,42,4,82.6,.0,8.3,.0,74.3,462.5,82.6,346.8,33.0
New Buffalo City Police Dept,MD,12,1885,3,0,2,0,1,63,13,48,2,159.2,.0,106.1,.0,53.1,3342.2,689.7,2546.4,106.1
New Era Police Dept,MD,12,450,0,0,0,0,0,11,2,9,0,.0,.0,.0,.0,.0,2444.4,444.4,2000.0,.0
New Haven Police Dept,MD,12,4650,14,0,3,1,10,85,23,59,3,301.1,.0,64.5,21.5,215.1,1828.0,494.6,1268.8,64.5
New Lothrop Police Dept,MD,11,574,1,0,0,1,0,6,0,6,0,,,,,,,,,
Newaygo County Sheriff Office,MD,1,,0,0,0,0,0,0,0,0,0,,,,,,,,,
Newaygo Police Dept,MD,12,1975,4,0,2,0,2,115,15,94,6,202.5,.0,101.3,.0,101.3,5822.8,759.5,4759.5,303.8
Newport Police Dept,MD,12,3275,2,0,0,2,0,92,20,72,0,61.1,.0,.0,61.1,.0,2809.2,610.7,2198.5,.0
Niles City Police Dept,MD,12,11617,51,0,12,8,31,382,57,305,20,439.0,.0,103.3,68.9,266.9,3288.3,490.7,2625.5,172.2
North Berwick Police Dept,MD,12,4607,3,0,0,1,2,46,20,22,4,65.1,.0,.0,21.7,43.4,998.5,434.1,477.5,86.8
North Branch Police Dept,MD,12,1031,7,0,1,0,6,9,3,6,0,679.0,.0,97.0,.0,582.0,872.9,291.0,582.0,.0
North East Police Dept,MD,12,3719,9,0,1,5,3,166,18,138,10,242.0,.0,26.9,134.4,80.7,4463.6,484.0,3710.7,268.9
North Muskegan Police Dept,MD,12,3769,6,0,0,1,5,110,5,103,2,159.2,.0,.0,26.5,132.7,2918.5,132.7,2732.8,53.1
Northfield Twp Police Dept,MD,12,8329,21,0,2,0,19,137,30,93,14,252.1,.0,24.0,.0,228.1,1644.9,360.2,1116.6,168.1
Northville City Police Dept,MD,12,5968,2,0,1,0,1,78,11,65,2,33.5,.0,16.8,.0,16.8,1307.0,184.3,1089.1,33.5
Northville Twp Police Dept,MD,12,28224,21,0,3,4,14,333,50,254,29,74.4,.0,10.6,14.2,49.6,1179.8,177.2,899.9,102.7
Norton Shores Police Dept,MD,12,23884,52,0,10,11,31,818,139,657,22,217.7,.0,41.9,46.1,129.8,3424.9,582.0,2750.8,92.1
Norway Police Dept,MD,12,5006,4,0,1,0,3,156,43,110,3,79.9,.0,20.0,.0,59.9,3116.3,859.0,2197.4,59.9
Novi City Police Dept,MD,12,55623,37,0,4,9,24,1048,72,937,39,66.5,.0,7.2,16.2,43.1,1884.1,129.4,1684.6,70.1
Oak Park Dept Of Public Safety,MD,12,29532,162,1,10,59,92,704,199,401,104,548.6,3.4,33.9,199.8,311.5,2383.9,673.8,1357.8,352.2
Oakland Police Dept,MD,12,1941,3,0,0,0,3,31,1,30,0,154.6,.0,.0,.0,154.6,1597.1,51.5,1545.6,.0
Oakland Town Police Dept,MD,12,6233,8,0,5,0,3,137,22,108,7,128.3,.0,80.2,.0,48.1,2198.0,353.0,1732.7,112.3
Oakland County Sheriff Office,MD,12,,1025,19,66,204,736,5412,1697,3379,336,,,,,,,,,
Ocean City Police Dept,MD,12,7179,93,0,12,21,60,1407,211,1180,16,1295.4,.0,167.2,292.5,835.8,19598.8,2939.1,16436.8,222.9
Ocean Pines,MD,12,11935,14,0,0,1,13,83,40,41,2,117.3,.0,.0,8.4,108.9,695.4,335.1,343.5,16.8
Ogunquit Police Dept,MD,12,898,0,0,0,0,0,56,18,37,1,.0,.0,.0,.0,.0,6236.1,2004.5,4120.3,111.4
Old Orchard Beach Police Dept,MD,12,8678,17,2,9,3,3,292,80,206,6,195.9,23.0,103.7,34.6,34.6,3364.8,921.9,2373.8,69.1
Old Town Police Dept,MD,12,7839,7,0,1,3,3,262,42,210,10,89.3,.0,12.8,38.3,38.3,3342.3,535.8,2678.9,127.6
Orono Police Dept,MD,12,10364,3,0,0,2,1,205,27,175,3,28.9,.0,.0,19.3,9.6,1978.0,260.5,1688.5,28.9
Oxford Police Dept,MD,12,661,0,0,0,0,0,4,1,3,0,.0,.0,.0,.0,.0,605.1,151.3,453.9,.0
Oxford County Sheriff Department,MD,12,,19,0,9,4,6,355,125,220,10,,,,,,,,,
Oxford Police Dept,MD,12,4103,7,0,6,0,1,192,20,170,2,170.6,.0,146.2,.0,24.4,4679.5,487.4,4143.3,48.7
Paris Police Dept,MD,12,5175,5,0,4,1,0,78,18,57,3,96.6,.0,77.3,19.3,.0,1507.2,347.8,1101.4,58.0
Penobscot County Sheriff' S Department,MD,12,,11,0,2,6,3,616,219,365,32,,,,,,,,,
Phippsburg,MD,12,2212,0,0,0,0,0,31,7,24,0,.0,.0,.0,.0,.0,1401.4,316.5,1085.0,.0
Piscataquis County Sheriff Department,MD,12,,4,0,0,2,2,105,59,43,3,,,,,,,,,
Pittsfield Police Dept,MD,12,4202,4,0,1,3,0,84,12,69,3,95.2,.0,23.8,71.4,.0,1999.0,285.6,1642.1,71.4
Pocomoke City Police Dept,MD,12,4230,15,0,1,1,13,187,35,151,1,354.6,.0,23.6,23.6,307.3,4420.8,827.4,3569.7,23.6
City Of Port Huron Police Dept,MD,12,29950,200,1,7,47,145,1102,283,782,37,667.8,3.3,23.4,156.9,484.1,3679.5,944.9,2611.0,123.5
Portland Police Dept,MD,12,66413,173,1,33,82,57,2632,411,2139,82,260.5,1.5,49.7,123.5,85.8,3963.1,618.9,3220.8,123.5
Presque Isle Police Dept,MD,12,9648,11,0,6,2,3,354,53,299,2,114.0,.0,62.2,20.7,31.1,3669.2,549.3,3099.1,20.7
Prince Georges County Police Department,MD,12,,3955,49,145,1996,1765,24192,4758,15115,4319,,,,,,,,,
Princess Anne Police Dept,MD,12,3301,28,0,4,0,24,167,47,117,3,848.2,.0,121.2,.0,727.1,5059.1,1423.8,3544.4,90.9
Queen Anne'S County Sheriff Office,MD,12,,57,1,2,3,51,618,131,472,15,,,,,,,,,
Rangeley Police Dept,MD,12,1175,0,0,0,0,0,13,3,9,1,.0,.0,.0,.0,.0,1106.4,255.3,766.0,85.1
Richmond Police Dept,MD,12,3406,0,0,0,0,0,50,8,41,1,.0,.0,.0,.0,.0,1468.0,234.9,1203.8,29.4
Ridgely Police Dept,MD,12,1650,9,0,0,2,7,80,17,60,3,545.5,.0,.0,121.2,424.2,4848.5,1030.3,3636.4,181.8
Rising Sun Police Dept,MD,12,2824,2,0,0,1,1,72,10,62,0,70.8,.0,.0,35.4,35.4,2549.6,354.1,2195.5,.0
Riverdale Police Dept,MD,12,7087,38,1,0,16,21,178,27,125,26,536.2,14.1,.0,225.8,296.3,2511.6,381.0,1763.8,366.9
Rock Hall Police Dept,MD,12,1324,1,0,0,0,1,23,10,13,0,75.5,.0,.0,.0,75.5,1737.2,755.3,981.9,.0
Rockland City Police Dept,MD,12,7297,10,0,2,3,5,314,23,282,9,137.0,.0,27.4,41.1,68.5,4303.1,315.2,3864.6,123.3
Rockport Police Dept,MD,12,3331,1,0,0,0,1,33,7,25,1,30.0,.0,.0,.0,30.0,990.7,210.1,750.5,30.0
City Of Roosevelt Park Police Dept,MD,12,3814,3,0,1,1,1,227,12,210,5,78.7,.0,26.2,26.2,26.2,5951.8,314.6,5506.0,131.1
Rumford Police Dept,MD,12,5831,8,0,5,0,3,228,61,165,2,137.2,.0,85.7,.0,51.4,3910.1,1046.1,2829.7,34.3
Sabattus Police Dept,MD,12,4866,3,0,0,1,2,65,21,42,2,61.7,.0,.0,20.6,41.1,1335.8,431.6,863.1,41.1
Saco Police Dept,MD,12,18595,24,1,4,10,9,471,93,365,13,129.1,5.4,21.5,53.8,48.4,2532.9,500.1,1962.9,69.9
Sagadahoc County Sheriff Department,MD,12,,3,0,1,1,1,180,71,103,6,,,,,,,,,
Salisbury Police Dept,MD,12,30778,366,1,18,118,229,1859,336,1470,53,1189.2,3.2,58.5,383.4,744.0,6040.0,1091.7,4776.1,172.2
Sanford Police Dept,MD,12,20925,64,0,26,16,22,794,144,618,32,305.9,.0,124.3,76.5,105.1,3794.5,688.2,2953.4,152.9
Douglas Police Dept,MD,12,2156,9,0,2,1,6,79,20,56,3,417.4,.0,92.8,46.4,278.3,3664.2,927.6,2597.4,139.1
Scarborough Police Dept,MD,12,18982,10,0,6,4,0,500,65,425,10,52.7,.0,31.6,21.1,.0,2634.1,342.4,2239.0,52.7
Searspart Police Dept,MD,12,2614,1,0,0,1,0,55,7,44,4,38.3,.0,.0,38.3,.0,2104.1,267.8,1683.2,153.0
Seat Pleasant Police Dept,MD,12,4628,44,2,1,10,31,173,34,107,32,950.7,43.2,21.6,216.1,669.8,3738.1,734.7,2312.0,691.4
Skowhegan Police Dept,MD,12,8562,25,0,14,5,6,539,105,419,15,292.0,.0,163.5,58.4,70.1,6295.3,1226.3,4893.7,175.2
Smithsburg Police Dept,MD,12,3020,1,0,0,0,1,32,7,25,0,33.1,.0,.0,.0,33.1,1059.6,231.8,827.8,.0
Snow  Hill Police Dept,MD,12,2124,8,0,0,0,8,47,13,32,2,376.6,.0,.0,.0,376.6,2212.8,612.1,1506.6,94.2
Somerset County Sheriff Department,MD,12,,6,1,0,0,5,39,6,32,1,,,,,,,,,
Somerset County Sheriff Office,MD,12,,21,0,10,3,8,376,156,209,11,,,,,,,,,
South Berwick Police Dept,MD,12,7265,5,0,3,0,2,57,17,39,1,68.8,.0,41.3,.0,27.5,784.6,234.0,536.8,13.8
South Portland Police Dept,MD,12,25087,49,0,3,11,35,966,108,847,11,195.3,.0,12.0,43.8,139.5,3850.6,430.5,3376.3,43.8
Southwest Harbor Police Dep,MD,12,1771,0,0,0,0,0,62,11,51,0,.0,.0,.0,.0,.0,3500.8,621.1,2879.7,.0
Allegany State Police,MD,12,,39,4,4,4,27,505,80,399,26,,,,,,,,,
Carroll State Police,MD,12,,71,3,0,11,57,564,139,391,34,,,,,,,,,
Cecil State Police,MD,12,,169,0,4,35,130,849,269,547,33,,,,,,,,,
St. Marys County Sheriff Department,MD,12,,210,0,11,48,151,2433,691,1665,77,,,,,,,,,
St. Michaels Police Dept,MD,12,1045,9,0,2,1,6,59,9,49,1,861.2,.0,191.4,95.7,574.2,5645.9,861.2,4689.0,95.7
Sykesville Police Dept,MD,12,4482,3,0,0,1,2,44,9,35,0,66.9,.0,.0,22.3,44.6,981.7,200.8,780.9,.0
Takoma Park Police Dept,MD,12,17185,64,0,1,42,21,491,73,364,54,372.4,.0,5.8,244.4,122.2,2857.1,424.8,2118.1,314.2
Talbot County Sheriff Department,MD,12,,13,0,1,3,9,235,92,139,4,,,,,,,,,
Taneytown Police Dept,MD,12,6801,7,0,0,1,6,101,10,91,0,102.9,.0,.0,14.7,88.2,1485.1,147.0,1338.0,.0
East Tawas Police Dept,MD,12,4580,7,0,4,2,1,121,20,100,1,152.8,.0,87.3,43.7,21.8,2641.9,436.7,2183.4,21.8
Thomaston Police Dept,MD,12,2781,0,0,0,0,0,70,12,57,1,.0,.0,.0,.0,.0,2517.1,431.5,2049.6,36.0
Thurmont Police Dept,MD,12,6320,7,0,0,1,6,51,15,35,1,110.8,.0,.0,15.8,94.9,807.0,237.3,553.8,15.8
Topsham Police Dept,MD,12,8770,6,0,3,2,1,219,33,182,4,68.4,.0,34.2,22.8,11.4,2497.1,376.3,2075.3,45.6
Trappe,MD,12,1095,6,0,3,0,3,19,1,17,1,547.9,.0,274.0,.0,274.0,1735.2,91.3,1552.5,91.3
Town Of University Park Police Dept,MD,12,2595,0,0,0,0,0,47,10,34,3,.0,.0,.0,.0,.0,1811.2,385.4,1310.2,115.6
Upper Marlboro Police Dept,MD,12,644,1,0,0,1,0,13,2,11,0,155.3,.0,.0,155.3,.0,2018.6,310.6,1708.1,.0
Van Buren Police Dept,MD,12,2161,2,0,0,0,2,4,1,2,1,92.5,.0,.0,.0,92.5,185.1,46.3,92.5,46.3
Veazie Police Dept,MD,12,1918,1,0,0,1,0,46,12,32,2,52.1,.0,.0,52.1,.0,2398.3,625.7,1668.4,104.3
Waldo County Sheriff Department,MD,12,,13,0,2,1,10,242,104,130,8,,,,,,,,,
Waldoboro Police Dept,MD,12,5044,3,1,0,1,1,76,12,62,2,59.5,19.8,.0,19.8,19.8,1506.7,237.9,1229.2,39.7
Washburn Police Dept,MD,12,1679,2,0,1,0,1,47,11,36,0,119.1,.0,59.6,.0,59.6,2799.3,655.2,2144.1,.0
Washington County Sheriff Department,MD,12,,155,0,7,21,127,1332,423,835,74,,,,,,,,,
Washington County Sheriff Department,MD,12,,25,0,0,0,25,159,63,88,8,,,,,,,,,
Waterville Police Dept,MD,12,15709,43,1,15,9,18,758,154,589,15,273.7,6.4,95.5,57.3,114.6,4825.3,980.3,3749.4,95.5
Wessley Police Dept,MD,12,28402,12,0,1,1,10,211,46,161,4,42.3,.0,3.5,3.5,35.2,742.9,162.0,566.9,14.1
Wellfleet Police Dept,MD,12,2772,6,0,0,1,5,53,19,32,2,216.5,.0,.0,36.1,180.4,1912.0,685.4,1154.4,72.2
Wells Police Dept,MD,12,9648,1,0,0,0,1,151,48,96,7,10.4,.0,.0,.0,10.4,1565.1,497.5,995.0,72.6
Wenham Police Dept,MD,12,4948,3,0,0,0,3,33,4,27,2,60.6,.0,.0,.0,60.6,666.9,80.8,545.7,40.4
West Boylston Police Dept,MD,12,7759,6,0,0,1,5,102,25,76,1,77.3,.0,.0,12.9,64.4,1314.6,322.2,979.5,12.9
West Bridgewater Police Dept,MD,12,7016,9,0,0,2,7,149,31,110,8,128.3,.0,.0,28.5,99.8,2123.7,441.8,1567.8,114.0
West Brookfield Police Dept,MD,7,3746,1,0,0,0,1,15,3,9,3,,,,,,,,,
West Newbury Police Dept,MD,12,4306,11,0,0,0,11,24,5,18,1,255.5,.0,.0,.0,255.5,557.4,116.1,418.0,23.2
West Springfield Police Dept,MD,12,28663,156,0,16,33,107,1365,267,989,109,544.3,.0,55.8,115.1,373.3,4762.2,931.5,3450.4,380.3
West Tisbury Police Dept,MD,12,2803,2,0,0,0,2,17,4,13,0,71.4,.0,.0,.0,71.4,606.5,142.7,463.8,.0
Westborough Police Dept,MD,12,18496,18,0,5,3,10,200,42,148,10,97.3,.0,27.0,16.2,54.1,1081.3,227.1,800.2,54.1
Westbrook Police Dept,MD,12,17553,33,0,7,15,11,608,66,532,10,188.0,.0,39.9,85.5,62.7,3463.8,376.0,3030.8,57.0
Westfield Police Dept,MD,12,41485,76,0,8,14,54,770,201,551,18,183.2,.0,19.3,33.7,130.2,1856.1,484.5,1328.2,43.4
Westford Police Dept,MD,12,22378,11,0,2,1,8,160,32,121,7,49.2,.0,8.9,4.5,35.7,715.0,143.0,540.7,31.3
Westhampton Police Dept,MD,10,1618,0,0,0,0,0,5,3,2,0,,,,,,,,,
Westminster Police Dept,MD,12,7367,10,0,0,2,8,140,16,124,0,135.7,.0,.0,27.1,108.6,1900.4,217.2,1683.2,.0
Westminster Police Dept,MD,12,18786,122,0,0,23,99,784,106,664,14,649.4,.0,.0,122.4,527.0,4173.3,564.2,3534.5,74.5
Weston Police Dept,MD,12,11472,1,0,0,0,1,51,15,34,2,8.7,.0,.0,.0,8.7,444.6,130.8,296.4,17.4
Westport Police Dept,MD,12,15688,20,1,2,1,16,264,129,122,13,127.5,6.4,12.7,6.4,102.0,1682.8,822.3,777.7,82.9
Westwood Police Dept,MD,12,14852,27,0,5,2,20,136,36,95,5,181.8,.0,33.7,13.5,134.7,915.7,242.4,639.6,33.7
Weymouth Police Dept,MD,12,54597,188,0,9,42,137,805,210,551,44,344.3,.0,16.5,76.9,250.9,1474.4,384.6,1009.2,80.6
Whately Police Dept,MD,12,1514,0,0,0,0,0,23,5,18,0,.0,.0,.0,.0,.0,1519.2,330.3,1188.9,.0
Whitman Police Dept,MD,12,14699,43,0,2,7,34,189,31,150,8,292.5,.0,13.6,47.6,231.3,1285.8,210.9,1020.5,54.4
Wicomico County Sheriff Department,MD,12,,81,2,4,18,57,794,254,505,35,,,,,,,,,
