"","b01001001","b01001a001","b01001b001","b15002003","b15002004","b15002005","b15002006","b15002007","b15002008","b15002009","b15002010","b15002011","b15002012","b15002013","b15002014","b15002015","b15002016","b15002017","b15002018","b19013001","gid","place"
"79",184699,148075,16406,317,135,326,703,573,1030,1070,852,15060,4319,11656,6178,10620,6550,1333,647,53008,"05000US12091","okaloosa"
"80",243895,142182,71262,506,571,967,1610,839,1799,1304,1729,20157,3518,10626,7392,15142,5546,2076,1036,41266,"16000US1253000","orlando"
"81",35829,26223,6386,246,46,97,252,163,104,312,103,3917,941,2405,1050,1186,399,276,101,37449,"16000US1254700","panamacity"
"82",52083,36055,12603,160,115,195,144,326,306,541,181,4893,1184,2799,1149,3193,1378,667,274,43646,"16000US1255925","pensacola"
"83",52420,41791,7740,47,22,83,422,428,373,308,232,6154,1055,2359,967,3316,1695,667,289,40370,"16000US1264175","sarasota"
"84",19081930,14568707,3050618,85845,55567,110017,121607,122422,155499,160813,151644,1894340,382561,906784,505584,1080744,392209,163721,87027,45637,"04000US12","spacecoast"
"85",184079,105248,64127,268,76,186,339,527,526,1029,546,7070,2236,6793,4331,11721,5754,2284,1871,38865,"16000US1270600","tallahassee"
"86",343677,218593,90575,1072,1054,1805,1855,1729,2436,3015,2548,30406,5340,12910,8172,21192,8557,4240,1920,41524,"16000US1271000","tampa"
"87",19081930,14568707,3050618,85845,55567,110017,121607,122422,155499,160813,151644,1894340,382561,906784,505584,1080744,392209,163721,87027,45637,"04000US12","treasurecoast"
"88",100940,63923,30652,526,670,1150,624,408,766,536,814,8266,2040,5187,2208,6770,2294,1486,664,42843,"16000US1276600","westpalmbeach"
"89",77546,19150,55701,416,187,147,782,377,1235,1474,806,6609,1430,3423,915,2187,550,277,260,27400,"16000US1301052","albanyga"
"90",9815725,5948579,3016117,39497,26950,52104,68531,75502,92941,93149,51998,890559,158947,453616,180469,536631,188848,65021,39960,47642,"04000US13","athensga"
"91",432752,170129,231265,1335,700,1149,2099,2016,3154,4503,1839,29150,4266,18984,5176,40419,16572,8007,2953,44784,"16000US1304000","atlanta"
"92",9815725,5948579,3016117,39497,26950,52104,68531,75502,92941,93149,51998,890559,158947,453616,180469,536631,188848,65021,39960,47642,"04000US13","augusta"
"93",194276,90317,87353,798,389,801,1157,966,1759,2064,1232,15273,3841,10961,3289,8252,2576,1301,714,39113,"16000US1319000","columbusga"
"94",91675,26785,61313,272,158,451,811,895,1327,1560,632,8681,1241,3317,792,1990,822,585,265,24847,"16000US1349000","macon"
"95",9815725,5948579,3016117,39497,26950,52104,68531,75502,92941,93149,51998,890559,158947,453616,180469,536631,188848,65021,39960,47642,"04000US13","nwga"
"96",139667,57047,75557,648,243,500,705,1124,1253,1808,1011,12815,2112,6531,2053,5892,1987,799,451,34832,"16000US1369000","savannah"
"97",29239,15608,11528,38,7,123,141,14,189,190,62,1111,207,1118,400,570,257,61,238,20358,"16000US1373256","statesboro"
"98",56216,23634,28443,81,231,121,291,313,547,583,378,4325,699,2672,636,1916,860,319,321,28397,"16000US1378800","valdosta"
"99",1378239,341913,23803,4378,2368,5761,4972,4038,6034,7345,7133,136884,23960,83183,44801,86771,27202,11941,6673,65087,"04000US15","bigisland"
"100",966405,204386,21563,3455,1507,3727,3221,2821,3713,4217,4613,89773,16761,56491,31771,64470,20760,9057,5220,70541,"05000US15003","honolulu"
"101",67815,22591,NA,204,196,310,248,182,169,409,312,7237,997,4893,2623,3803,1010,659,217,60332,"05000US15007","kauai"
"102",156670,54263,NA,451,275,880,619,497,1122,976,1135,18375,3132,9890,4084,9120,2476,980,334,61383,"05000US15009","maui"
"103",1128079,1033423,7782,3259,1849,4150,4723,4491,6977,6347,4970,87182,26212,61962,29061,62611,21883,7137,5430,44142,"04001US16","eastidaho"
"104",32204,30414,NA,125,22,46,190,104,158,204,227,3507,852,2039,1011,1303,540,174,120,43842,"16000US1646540","lewiston"
"105",44845,40436,NA,240,156,196,167,313,349,444,393,3515,819,2435,1438,2000,366,135,84,40544,"16000US1682810","twinfalls"
"106",77196,59809,8850,65,0,100,259,176,232,358,266,4588,1343,3814,1569,7661,2470,500,339,60319,"16000US1706613","bloomington"
"107",25583,16174,6574,48,0,37,13,16,11,78,95,978,74,1226,372,1204,860,30,331,17444,"16000US1711163","carbondale"
"108",12858490,9330549,1864183,46568,26924,76571,85206,60843,78932,87699,83850,1136660,257389,603162,272285,785937,319425,109952,57905,55231,"04000US17","chambana"
"109",2705981,1289818,879617,15402,11806,31224,25489,19127,20591,24020,21926,205545,33424,120385,41575,169529,68375,29520,13023,45483,"16000US1714000","chicago"
"110",76080,54476,17656,251,12,47,404,536,689,878,547,8075,2082,3404,1448,3254,1141,330,233,38878,"16000US1718823","decatur"
"111",113423,107418,2864,169,40,251,786,445,1198,1181,816,14786,3743,6269,3220,3862,1107,380,208,49754,"05000US17099","lasalle"
"112",114398,72454,31713,119,69,236,686,810,639,796,661,8783,1904,5239,1952,6711,3501,1281,569,44061,"16000US1759000","peoria"
"113",152235,103907,32414,863,361,778,1177,1129,1180,2146,1184,15794,3051,5893,3111,5512,2343,1290,349,36870,"16000US1765000","rockford"
"114",116824,88483,22344,318,75,143,679,485,1063,831,472,8904,2280,5352,2841,8201,3259,1356,499,46615,"16000US1772000","springfieldil"
"115",12858490,9330549,1864183,46568,26924,76571,85206,60843,78932,87699,83850,1136660,257389,603162,272285,785937,319425,109952,57905,55231,"04000US17","quincy"
"116",80127,65898,NA,83,5,53,231,300,303,191,134,2428,750,2569,823,4765,2892,386,2029,26925,"16000US1805860","bloomingtonin"
"117",120386,99677,14491,294,44,272,650,616,1317,1224,868,13948,2495,6984,2224,4227,1284,528,325,35282,"16000US1822000","evansville"
"118",6514516,5515975,589237,19771,6865,16656,46767,36595,54043,55856,36213,737832,135417,287171,143568,305349,110797,34794,26004,47185,"04000US18","fortwayne"
"119",6514516,5515975,589237,19771,6865,16656,46767,36595,54043,55856,36213,737832,135417,287171,143568,305349,110797,34794,26004,47185,"04000US18","indianapolis"
"120",56431,47788,5647,121,12,65,537,245,519,596,182,7026,1244,2924,1561,2081,695,99,134,33598,"16000US1840392","kokomo"
"121",66822,58340,4433,215,146,439,365,501,355,621,226,6506,1287,2824,1460,3606,1158,257,260,38225,"16000US1840788","tippecanoe"
"122",69830,58621,5295,224,35,134,468,354,774,609,383,6056,1449,2405,853,1663,1204,213,653,28975,"16000US1851876","muncie"
"123",36587,30957,1935,166,67,40,222,454,427,364,254,4547,668,1289,871,832,628,149,105,28492,"16000US1864260","richmondin"
"124",99803,62711,27609,405,123,256,460,626,1067,1223,811,8968,1860,4804,1824,3849,1877,633,735,33420,"16000US1871000","southbend"
