"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"955","Federal Heights, CO, USA","Federal Heights","CO",11592,35940,8641,106,66,41,151,143,214,146,239,156,1172,173,539,119,261,26,0,0
"956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"957","Mission Valley, San Diego, CA, USA","Mission Valley","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1463","St. George, UT, USA","St. George","UT",72572,48510,65587,393,184,43,388,285,264,261,304,499,4905,1692,4078,1704,3764,1451,662,434
"1464","Santa Barbara, CA, USA","Santa Barbara","CA",88192,63401,65991,1688,461,674,1471,481,607,411,416,313,4506,1225,4827,1849,7255,2690,1220,1603
"960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"961","Fairborn, OH, USA","Fairborn","OH",32052,40981,26864,2748,96,18,44,204,109,126,326,182,2514,716,1506,752,1469,1010,65,192
"1467","Charlotte, NC, USA","Charlotte","NC",722234,53146,386004,248608,2501,2255,5004,2904,3883,4368,5307,3411,45432,10120,31307,14127,59983,19748,6520,2650
"1468","Palm Springs, CA, USA","Palm Springs","CA",45045,45989,36950,2042,167,198,588,147,268,122,463,320,4044,1490,3741,1412,4670,1945,941,530
"1469","Port Charlotte, FL, USA","Port Charlotte","FL",55451,40614,46840,5091,143,93,133,456,456,425,429,748,6653,1888,3322,1492,2137,776,243,123
"1470","Lancaster, PA, USA","Lancaster","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"968","Paramount, CA, USA","Paramount","CA",54196,42831,17996,5296,677,703,1822,471,932,395,846,823,3900,670,1688,495,825,139,85,19
"1475","Sanford, FL, USA","Sanford","FL",52347,43520,32148,14843,93,148,192,258,260,772,403,390,5002,1053,2750,1264,2469,877,196,59
"1476","Fort Myers Beach, FL, USA","Fort Myers Beach","FL",6479,55213,6312,87,0,0,17,7,0,41,81,32,691,226,383,161,741,273,150,68
"1477","Murfreesboro, TN, USA","Murfreesboro","TN",106042,48766,81455,16213,226,157,286,404,403,487,537,466,6387,1697,5944,1806,7397,2086,551,779
"972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"973","St. Louis, MO, USA","St. Louis","MO",14231,77716,12867,395,0,0,0,105,0,37,15,25,834,281,815,433,1592,730,102,101
"974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"975","North Bethesda, MD, USA","North Bethesda","MD",40970,97129,29763,2976,48,62,138,36,15,21,175,186,1083,418,986,400,4727,2761,1569,1427
"1483","Hazelwood, MO, USA","Hazelwood","MO",25699,47218,17056,7745,25,13,96,206,64,155,174,94,2713,597,1568,490,1279,519,63,81
"1484","Fort Myers, FL, USA","Fort Myers","FL",62773,37347,34897,20384,747,375,693,570,346,592,832,672,6436,893,2558,1462,2930,1154,431,233
"1485","Santa Ana, CA, USA","Santa Ana","CA",325517,54399,137049,3754,4451,4944,13103,4433,8386,2465,2920,3932,19779,3405,10641,4439,7819,1982,776,287
"979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"980","Cape Coral, FL, USA","Cape Coral","FL",152817,51407,140135,4918,408,86,364,496,704,1360,1299,1196,18322,4383,8632,3759,7251,1963,849,379
"1488","Cleveland Heights, OH, USA","Cleveland Heights","OH",46384,47966,23096,19936,137,47,31,98,119,179,304,168,2473,556,1766,667,3637,1648,1033,788
"1489","St. Charles, MO, USA","St. Charles","MO",65780,56929,59241,3580,45,43,105,483,171,399,321,309,5965,1466,3231,1156,4844,1724,194,257
"1490","Anchorage, AK, USA","Anchorage","AK",287390,75485,193404,15844,613,289,503,764,739,972,1259,1356,21904,6695,18780,7508,17516,6681,2805,1416
"1491","San Francisco Bay Area, CA, USA","San Francisco Bay Area","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"986","Key Largo, FL, USA","Key Largo","FL",11916,51798,10995,589,141,10,18,12,172,125,62,133,1534,346,582,401,893,345,89,37
"1495","Boca Raton, FL, USA","Boca Raton","FL",84876,71414,76253,4154,62,130,183,190,316,220,169,459,4764,1075,4026,1905,9438,3273,2608,1189
"1496","Dade City, FL, USA","Dade City","FL",6627,27045,4192,2124,77,0,86,98,70,71,87,88,557,115,326,93,208,15,39,0
"1497","Rancho Cucamonga, CA, USA","Rancho Cucamonga","CA",163151,78782,103092,13751,345,285,329,495,450,738,1331,858,10814,3752,11214,4692,9344,3420,1387,774
"1499","Humboldt County, CA, USA","Humboldt County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1500","Duncanville, TX, USA","Duncanville","TX",38224,53996,21431,9761,128,110,402,355,277,141,357,205,2903,811,1578,619,2032,696,165,123
"1501","El Paso, TX, USA","El Paso","TX",640066,39442,510036,20312,4660,3713,9892,3851,5427,3140,4063,3642,42865,9405,32295,11765,26186,9563,3651,1661
"993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"995","Hot Springs, AR, USA","Hot Springs","AR",35542,31643,26347,5961,101,131,233,363,222,229,295,257,3802,592,2080,725,1524,451,392,114
"1506","Hutchinson, KS, USA","Hutchinson","KS",41857,40004,37373,1904,74,48,44,316,352,285,439,158,4471,1233,2489,988,1733,689,218,97
"1507","Buford, GA, USA","Buford","GA",12335,45488,9016,1575,83,221,123,243,179,228,62,52,936,166,513,192,518,91,95,43
"1509","Dickson City, PA, USA","Dickson City","PA",6086,44550,5907,30,15,0,5,52,3,17,15,45,854,174,195,278,363,54,21,0
"1511","Hollywood, Los Angeles, CA, USA","Hollywood","CA",34564,52303,29169,633,195,73,5,19,20,68,131,137,2232,631,3014,887,6976,1728,1191,302
"1512","Kennesaw, GA, USA","Kennesaw","GA",29050,60288,18403,6385,57,0,33,65,86,189,79,36,1993,581,1324,567,2304,617,73,183
"1514","Fort Worth, TX, USA","Fort Worth","TX",724699,50456,464234,136653,4116,4208,11029,4478,7195,4994,6013,3938,50949,12223,33021,11775,37204,12648,3836,2284
"1515","Floral Park, NY, USA","Floral Park","NY",16074,113478,13973,367,30,0,112,87,0,66,10,158,1287,277,591,408,1349,468,220,86
"1516","Arlington Heights, IL, USA","Arlington Heights","IL",75094,78494,64936,1108,87,67,114,311,93,123,93,275,4620,1209,2745,1499,8219,4505,981,336
"1517","Fort Myers, FL, USA","Fort Myers","FL",62773,37347,34897,20384,747,375,693,570,346,592,832,672,6436,893,2558,1462,2930,1154,431,233
"1518","San Diego, CA, USA","San Diego","CA",21495,89604,17704,1103,30,24,69,16,93,69,79,89,1133,413,1580,766,1685,834,273,214
"1520","Oakland Park, FL, USA","Oakland Park","FL",41617,44470,27070,10065,243,282,496,296,226,186,334,328,4961,1044,2732,1046,3051,557,327,119
"1521","La Crosse, WI, USA","La Crosse","WI",51396,38287,46606,1331,99,0,70,187,56,162,289,236,4637,710,2451,1538,2056,766,453,365
"1008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1009","Winston-Salem, NC, USA","Winston-Salem","NC",227691,41228,123100,79247,966,837,1394,1203,1814,1675,1735,1079,17721,2812,9550,3906,12858,4433,2199,1433
"1525","Ashland, OH, USA","Ashland","OH",20569,40503,19552,298,43,0,9,147,44,134,182,181,1982,416,637,270,837,548,110,180
"1526","Adirondack Mountains, New York, USA","Adirondack Mountains","New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1527","University Heights, OH, USA","University Heights","OH",13541,74759,9934,2752,0,0,0,28,18,3,43,61,188,86,381,244,1075,753,364,197
"1528","Center City, Philadelphia, PA, USA","Center City","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1530","Lanham, MD, USA","Lanham","MD",9515,76833,1995,6216,41,80,196,66,62,8,120,20,842,88,495,122,464,173,40,111
"1015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1017","Imperial County, CA, USA","Imperial County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1019","Oakley, CA, USA","Oakley","CA",34410,78102,22456,2696,151,129,401,91,201,144,304,190,3358,1040,1892,833,1043,148,38,15
"1537","Palm Springs, CA, USA","Palm Springs","CA",45045,45989,36950,2042,167,198,588,147,268,122,463,320,4044,1490,3741,1412,4670,1945,941,530
"1539","Auburn Boulevard, Sacramento, CA, USA","Auburn Boulevard","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1540","Northport, AL, USA","Northport","AL",22920,51730,16548,5984,176,28,43,104,96,200,190,142,2157,430,813,401,1306,390,168,184
"1541","Antioch, CA, USA","Antioch","CA",101118,66479,52300,17716,439,185,813,669,459,630,479,882,7740,1971,5642,2448,4304,938,382,91
"1542","Atascadero, CA, USA","Atascadero","CA",28194,68502,24964,471,23,48,46,166,108,195,238,108,2452,862,1781,879,1897,747,306,221
"1543","Saint Cloud, MN, USA","Saint Cloud","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1544","Pikesville, MD, USA","Pikesville","MD",31016,71522,22988,4714,59,57,107,65,0,138,93,64,1332,353,1129,347,2824,1235,1677,462
"1545","Ludington, MI, USA","Ludington","MI",8120,33534,7707,91,16,5,46,108,50,94,87,28,816,192,450,118,336,160,34,12
"1546","Boynton Beach, FL, USA","Boynton Beach","FL",67918,45156,43895,19803,264,274,484,441,412,322,669,821,5740,1368,3933,1791,4346,1592,588,240
"1547","Mandeville, LA, USA","Mandeville","LA",11561,64028,10166,457,41,6,28,0,50,54,114,20,749,175,828,251,949,364,213,86
"1548","Parkersburg, WV, USA","Parkersburg","WV",31646,33629,30259,454,89,17,31,272,306,360,260,156,3699,711,1703,765,1172,327,185,68
"1549","Crestview, FL, USA","Crestview","FL",20543,48750,14873,3918,95,22,63,19,81,88,204,84,1751,326,1311,806,628,437,41,83
"1550","Jackson, TN, USA","Jackson","TN",64670,35433,32184,29994,288,48,251,391,420,546,667,344,5620,935,2648,692,3176,1019,562,221
"1551","Dayton, USA","Dayton","Dayton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036","Sioux Falls, SD, USA","Sioux Falls","SD",151727,51831,132615,5738,365,85,399,916,716,865,934,890,13424,2776,7280,3952,10284,3456,1418,625
"1037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038","Tolleson, AZ, USA","Tolleson","AZ",6493,36000,5312,290,0,36,299,32,95,117,52,36,462,78,254,63,28,23,0,0
"1560","Bellevue, WA, USA","Bellevue","WA",121134,84503,78124,2973,251,208,185,240,191,223,283,257,4522,1576,4834,2245,16418,8034,2127,1569
"1561","Ladson, SC, USA","Ladson","SC",12965,47401,8294,3608,103,0,9,57,117,80,158,107,1549,385,741,247,230,75,0,0
"1563","Tallahassee, FL, USA","Tallahassee","FL",179298,38972,103956,61197,268,48,209,427,539,528,1090,671,7878,1844,5768,3389,11639,5532,1964,1886
"1042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045","North Dallas, Dallas, TX, USA","North Dallas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1047","Goldsboro, NC, USA","Goldsboro","NC",36689,35384,13988,20222,173,102,119,298,292,297,415,118,3442,772,2297,880,1153,463,144,206
"1574","Charter Township of Clinton, MI, USA","Charter Township of Clinton","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1575","Parkersburg, WV, USA","Parkersburg","WV",31646,33629,30259,454,89,17,31,272,306,360,260,156,3699,711,1703,765,1172,327,185,68
"1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1051","Cleveland, OH, USA","Cleveland","OH",403163,27470,165270,212121,1908,963,1175,2994,3860,6026,8541,3757,43254,7409,18391,6489,10676,3713,1440,685
"1578","Chamblee, GA, USA","Chamblee","GA",12095,54819,6633,1509,185,395,521,46,219,137,29,12,677,105,393,125,1202,318,102,98
"1579","New Cumberland, PA, USA","New Cumberland","PA",7295,60213,6841,183,33,0,21,33,37,66,37,18,702,93,384,226,632,223,66,11
"1580","Shea - Scottsdale, Scottsdale, AZ, USA","Shea - Scottsdale","AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1581","Rapid City, SD, USA","Rapid City","SD",67193,44740,54771,777,133,14,120,316,136,357,383,255,5705,1559,3861,1760,4031,1468,582,248
"1582","Pooler, GA, USA","Pooler","GA",17799,71793,11283,4936,48,2,0,24,24,29,57,14,1474,375,1193,342,1289,420,309,103
"1583","Palm City, FL, USA","Palm City","FL",23414,75833,22460,209,52,0,0,72,102,57,76,0,1389,442,1133,690,2337,729,526,132
"1584","Kennewick, USA","Kennewick","Kennewick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060","Twin Falls, ID, USA","Twin Falls","ID",43287,41124,39324,243,329,126,264,284,250,224,287,366,3654,989,2279,1330,1745,399,109,99
"1587","Sun City, AZ, USA","Sun City","AZ",38329,36117,36569,659,90,14,112,296,42,235,299,285,4892,1403,3138,941,2291,1081,344,207
"1589","Raleigh, NC, USA","Raleigh","NC",395091,52819,236068,117292,724,741,3065,1251,1844,1807,1627,1032,19126,5313,16286,7419,36949,12276,3920,3311
"1590","O'Hare, Chicago, IL, USA","O'Hare","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1591","Richmond, VA, USA","Richmond","VA",203165,39201,86686,102187,1149,794,1411,1856,1434,1947,2190,1128,15284,2510,8093,2311,12340,4548,2325,1084
"1592","Carlisle, PA, USA","Carlisle","PA",18702,45963,16045,1431,15,35,6,50,37,187,165,69,1598,321,460,306,844,566,141,266
"1593","Palm Bay, FL, USA","Palm Bay","FL",101815,44768,75080,17382,407,106,165,459,338,698,1026,962,10818,2496,4902,2933,3781,1641,228,259
"1594","Fort Collins, CO, USA","Fort Collins","CO",142332,51446,127749,1754,186,79,208,215,353,240,376,346,5671,2296,6022,2795,12467,5726,1278,1708
"1068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1069","Ramsey County, MN, USA","Ramsey County","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1597","Lilburn, GA, USA","Lilburn","GA",11786,61536,6209,1607,69,104,105,140,83,52,129,90,898,204,525,172,748,226,53,41
"1598","Bullhead City, AZ, USA","Bullhead City","AZ",39910,38930,35545,584,210,142,133,270,287,516,697,382,4868,1275,2696,742,1845,375,240,73
"1599","San Carlos Park, FL, USA","San Carlos Park","FL",18198,50759,15255,699,111,62,228,30,99,130,159,180,2727,624,660,425,615,108,0,0
"1600","San Clemente, CA, USA","San Clemente","CA",62052,89289,51755,343,172,41,259,55,141,110,141,131,2463,1010,3663,1707,6632,2220,1043,444
"1601","Ocoee, FL, USA","Ocoee","FL",34872,61653,22781,6711,184,118,217,230,274,189,176,360,2645,844,1545,931,1942,810,71,173
"1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1076","New Carrollton, MD, USA","New Carrollton","MD",12114,61931,3557,7096,81,0,195,89,151,51,77,41,1095,114,593,181,519,216,33,29
"1606","San Jose, CA, USA","San Jose","CA",939688,80764,447759,28485,6156,3837,11227,5520,5615,6028,5627,7425,57625,13298,43884,23334,67999,34718,5678,7535
"1608","La Crosse, WI, USA","La Crosse","WI",51396,38287,46606,1331,99,0,70,187,56,162,289,236,4637,710,2451,1538,2056,766,453,365
"1609","Schiller Park, IL, USA","Schiller Park","IL",11736,47793,9174,283,58,56,0,59,16,182,104,149,1602,270,564,271,547,153,19,0
"1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081","Saratoga, CA, USA","Saratoga","CA",29781,155182,15434,156,25,17,0,22,11,11,12,76,348,152,697,441,3143,3606,881,912
"1614","Palmetto Bay, FL, USA","Palmetto Bay","FL",23493,106017,20549,1282,106,47,3,23,96,32,63,8,903,287,1168,456,1882,886,777,294
"1615","Kennesaw, GA, USA","Kennesaw","GA",29050,60288,18403,6385,57,0,33,65,86,189,79,36,1993,581,1324,567,2304,617,73,183
"1616","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"1617","Anaheim, CA, USA","Anaheim","CA",335057,59330,201798,8980,2664,2019,7084,2555,4634,1755,2477,3584,23761,4723,14742,6078,17030,5296,1371,997
"1618","Jackson, MI, USA","Jackson","MI",33986,29589,24773,7238,50,47,79,278,284,486,346,239,2997,931,1981,740,951,259,107,22
"1087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1088","Long Beach, CA, USA","Long Beach","CA",462197,52945,229779,62231,3459,2440,5966,2775,3355,2655,3443,4052,29227,7163,25364,9755,26689,8674,3007,2047
"1089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1090","Falls Church, VA, USA","Falls Church","VA",11840,120332,9310,585,0,0,74,22,34,13,25,10,218,90,231,75,1162,1144,383,237
"1624","Urbana, IL, USA","Urbana","IL",41089,32808,25964,6745,53,9,76,72,6,45,172,157,1147,369,1223,398,1978,2031,297,1192
"1625","Orlando, FL, USA","Orlando","FL",236532,42755,138029,65854,843,838,1179,1505,1183,1862,1651,1614,20299,3591,10223,6633,16084,4646,2149,936
"1626","King County, WA, USA","King County","WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095","Midtown, New York, NY, USA","Midtown","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1631","Greenville, USA","Greenville","Greenville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1633","Colorado Springs, CO, USA","Colorado Springs","CO",410688,53747,329551,26144,835,347,1138,1463,1096,1559,1835,1500,26377,8177,23064,11739,27417,15496,3315,2299
"1635","Rancho Cordova, CA, USA","Rancho Cordova","CA",64072,53878,40166,5631,348,308,299,295,364,297,539,524,4726,1704,3730,1714,3517,1162,285,172
"1099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","Ocean Beach Road, WA, USA","Ocean Beach Road","WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1102","Fort Myers, FL, USA","Fort Myers","FL",62773,37347,34897,20384,747,375,693,570,346,592,832,672,6436,893,2558,1462,2930,1154,431,233
"1643","Merritt Island, FL, USA","Merritt Island","FL",34519,58528,30343,2066,41,24,15,113,118,136,168,189,3373,912,1642,1078,2352,1288,291,241
"1644","Chinatown, New York, NY, USA","Chinatown","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1645","Tinley Park, IL, USA","Tinley Park","IL",55694,77097,48254,2031,250,0,65,166,59,117,239,400,4944,1207,3203,1579,3821,1468,285,148
"1646","Elk Grove, CA, USA","Elk Grove","CA",146537,78564,64921,16330,724,578,698,336,264,376,535,929,7313,3112,7801,4985,9546,2560,834,526
"1107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108","Morrow, GA, USA","Morrow","GA",6379,49524,1365,2382,1,19,26,12,23,20,136,26,708,167,394,101,210,25,0,24
"1650","Georgia, USA","Georgia","Georgia",9600612,49736,5849795,2922448,35962,27198,55008,73152,75645,95289,90450,49128,871947,154626,420954,169023,523196,184729,64460,38125
"1652","Eagan, MN, USA","Eagan","MN",64535,80243,52952,3624,69,42,74,59,161,42,122,168,3167,1201,2643,2029,6942,2459,819,383
"1111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1113","Orange County, CA, USA","Orange County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1115","Granada Hills, Los Angeles, CA, USA","Granada Hills","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1658","Pollock Pines, CA, USA","Pollock Pines","CA",6953,54478,6621,0,0,12,15,46,14,17,86,112,775,386,417,147,363,131,40,0
"1659","East Pittsburgh, PA, USA","East Pittsburgh","PA",1953,24929,763,1065,6,0,0,0,1,21,0,14,241,30,62,21,42,5,0,9
"1660","Midland, MI, USA","Midland","MI",41991,50203,38514,755,8,31,35,198,94,209,183,88,2627,803,1629,734,3309,1565,434,774
"1119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120","East Reno Avenue, Las Vegas, NV, USA","East Reno Avenue","NV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1663","Chicopee, MA, USA","Chicopee","MA",55205,45763,47277,1787,231,156,132,451,525,576,566,771,6544,1289,2392,1708,1675,616,58,58
"1664","Seattle, WA, USA","Seattle","WA",603174,61856,425715,46734,2313,761,1827,2109,1653,1981,2513,3527,27124,9879,29377,14230,72131,29340,11291,8072
"1665","Wheat Ridge, CO, USA","Wheat Ridge","CO",30365,48777,26033,254,111,37,59,168,141,156,259,351,2757,733,1757,819,2225,552,161,118
"1666","Los Angeles, CA, USA","Los Angeles","CA",124222,37271,71230,476,1886,2594,5332,1893,2379,1265,1591,2117,8828,1217,3129,1187,1341,232,84,11
"1125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1127","San Bernardino, CA, USA","San Bernardino","CA",210100,40161,94041,31257,1857,1332,3124,1638,2570,2092,3091,2793,16344,3525,7392,3891,4393,1464,451,290
"1128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130","Phenix, VA, USA","Phenix","VA",387,58438,355,18,0,0,0,5,1,17,0,0,45,5,5,0,51,0,0,0
"1674","Grants Pass, OR, USA","Grants Pass","OR",34180,33710,31743,107,52,15,40,197,262,261,313,192,3157,1256,1894,1076,849,453,256,28
"1675","Plano, TX, USA","Plano","TX",260197,82901,185948,17586,545,321,1366,887,663,928,454,584,10183,3161,11217,4579,29282,14478,2628,2449
"1676","Skokie, IL, USA","Skokie","IL",64233,66642,41912,4519,316,186,176,284,83,202,397,357,3716,982,2852,1363,6041,2438,1280,622
"1678","Pinellas County, FL, USA","Pinellas County","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
