ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9131959,HW276825,05/16/2013 02:00:00 AM,047XX S CHRISTIANA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,0821,008,14,58,07,1154788,1873225,2013,05/19/2013 12:39:40 AM,41.80794175997526,-87.70780231020396,"(41.80794175997526, -87.70780231020396)"
9132329,HW276684,05/16/2013 02:00:00 AM,040XX N MC VICKER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1624,016,38,15,06,1135338,1926271,2013,05/19/2013 12:39:40 AM,41.95387354166842,-87.77788197680064,"(41.95387354166842, -87.77788197680064)"
9131664,HW276569,05/16/2013 02:00:00 AM,084XX S CONSTANCE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0412,004,8,45,06,1189961,1849049,2013,05/19/2013 12:39:40 AM,41.740825986530886,-87.579575250081,"(41.740825986530886, -87.579575250081)"
9132531,HW277235,05/16/2013 02:00:00 AM,008XX N FRANCISCO AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1211,012,26,24,06,1156865,1905284,2013,05/19/2013 12:39:40 AM,41.895873485946154,-87.69931617102618,"(41.895873485946154, -87.69931617102618)"
9131487,HW276455,05/16/2013 01:49:00 AM,092XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,true,0634,006,6,49,14,1178815,1843763,2013,05/23/2013 12:40:15 AM,41.72658119501949,-87.62057323627266,"(41.72658119501949, -87.62057323627266)"
9131477,HW276452,05/16/2013 01:45:00 AM,050XX S LOOMIS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0933,009,16,61,08B,1167805,1871530,2013,05/20/2013 12:42:09 AM,41.803020584623994,-87.66010789628908,"(41.803020584623994, -87.66010789628908)"
9131507,HW276458,05/16/2013 01:34:00 AM,064XX S WINCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0726,007,15,67,08B,1164506,1861824,2013,05/19/2013 12:39:40 AM,41.77645636618097,-87.67248048565591,"(41.77645636618097, -87.67248048565591)"
9134295,HW278794,05/16/2013 01:30:00 AM,009XX E 47TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,BANK,false,false,0222,002,4,39,11,1183141,1874001,2013,05/22/2013 12:45:12 AM,41.809457811086304,-87.60378728850715,"(41.809457811086304, -87.60378728850715)"
9132921,HW276465,05/16/2013 01:30:00 AM,012XX S FAIRFIELD AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,1023,010,28,29,08B,1158272,1894081,2013,05/21/2013 12:41:47 AM,41.86510274635985,-87.69445485062428,"(41.86510274635985, -87.69445485062428)"
9132025,HW276822,05/16/2013 01:30:00 AM,015XX W 51ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,0933,009,16,61,08B,1166702,1870944,2013,05/19/2013 12:39:40 AM,41.80143616897586,-87.66416983855449,"(41.80143616897586, -87.66416983855449)"
9134243,HW276483,05/16/2013 01:30:00 AM,057XX S CALUMET AVE,0810,THEFT,OVER $500,APARTMENT,false,false,0232,,20,40,06,,,2013,05/20/2013 12:42:09 AM,,,
