105,"nwga",\N,\N,\N,\N,-82.9071,32.1574,"Georgia, USA"
106,"savannah",\N,\N,\N,\N,-81.0998,32.0835,"Savannah, GA, USA"
107,"statesboro",\N,\N,\N,\N,-81.7832,32.4488,"Statesboro, GA, USA"
108,"valdosta",\N,\N,\N,\N,-83.2785,30.8327,"Valdosta, GA, USA"
109,"hawaii",\N,\N,\N,\N,-155.583,19.8968,"Hawaii, USA"
110,"bigisland",\N,\N,\N,\N,-155.666,19.5429,"Island of Hawaii, Hawaii, USA"
111,"honolulu",\N,\N,\N,\N,-157.858,21.3069,"Honolulu, HI, USA"
112,"kauai",\N,\N,\N,\N,-159.526,22.0964,"Kauai, Hawaii, USA"
113,"maui",\N,\N,\N,\N,-156.332,20.7984,"Maui, Hawaii, USA"
114,"idaho",\N,\N,\N,\N,-114.742,44.0682,"Idaho, USA"
115,"boise",\N,\N,\N,\N,-116.215,43.6187,"Boise, ID, USA"
116,"eastidaho",\N,\N,\N,\N,-114.742,44.0682,"Idaho, USA"
117,"lewiston",\N,\N,\N,\N,-117.001,46.4004,"Lewiston, ID, USA"
118,"twinfalls",\N,\N,\N,\N,-114.461,42.563,"Twin Falls, ID, USA"
119,"illinois",\N,\N,\N,\N,-89.3985,40.6331,"Illinois, USA"
120,"bloomington",\N,\N,\N,\N,-88.9937,40.4842,"Bloomington, IL, USA"
121,"carbondale",\N,\N,\N,\N,-89.2168,37.7273,"Carbondale, IL, USA"
122,"chambana",\N,\N,\N,\N,-88.2434,40.1164,"Champaign, IL, USA"
123,"chicago",\N,\N,\N,\N,-87.6298,41.8781,"Chicago, IL, USA"
124,"decatur",\N,\N,\N,\N,-88.9548,39.8403,"Decatur, IL, USA"
125,"lasalle",\N,\N,\N,\N,-88.9414,41.4364,"LaSalle, IL, USA"
126,"mattoon",\N,\N,\N,\N,-88.3728,39.4831,"Mattoon, IL 61938, USA"
127,"peoria",\N,\N,\N,\N,-89.589,40.6936,"Peoria, IL, USA"
128,"rockford",\N,\N,\N,\N,-89.094,42.2711,"Rockford, IL, USA"
129,"springfieldil",\N,\N,\N,\N,-89.6501,39.7817,"Springfield, IL, USA"
130,"quincy",\N,\N,\N,\N,-90.3937,41.3805,"Western, IL, USA"
131,"indiana",\N,\N,\N,\N,-86.1349,40.2672,"Indiana, USA"
132,"bloomingtonin",\N,\N,\N,\N,-86.5264,39.1653,"Bloomington, IN, USA"
133,"evansville",\N,\N,\N,\N,-87.5711,37.9716,"Evansville, IN, USA"
134,"fortwayne",\N,\N,\N,\N,-85.1394,41.0793,"Fort Wayne, IN, USA"
135,"indianapolis",\N,\N,\N,\N,-86.1581,39.7684,"Indianapolis, IN, USA"
136,"kokomo",\N,\N,\N,\N,-86.1336,40.4864,"Kokomo, IN, USA"
137,"tippecanoe",\N,\N,\N,\N,-86.8753,40.4167,"Lafayette, IN, USA"
138,"muncie",\N,\N,\N,\N,-85.3864,40.1934,"Muncie, IN, USA"
139,"richmondin",\N,\N,\N,\N,-84.8902,39.8289,"Richmond, IN, USA"
140,"southbend",\N,\N,\N,\N,-86.252,41.6764,"South Bend, IN, USA"
141,"terrehaute",\N,\N,\N,\N,-87.4139,39.4667,"Terre Haute, IN, USA"
142,"iowa",\N,\N,\N,\N,-93.0977,41.878,"Iowa, USA"
143,"cedarrapids",\N,\N,\N,\N,-91.6656,41.9779,"Cedar Rapids, IA, USA"
144,"desmoines",\N,\N,\N,\N,-93.6091,41.6005,"Des Moines, IA, USA"
145,"dubuque",\N,\N,\N,\N,-90.6646,42.5006,"Dubuque, IA, USA"
146,"fortdodge",\N,\N,\N,\N,-94.168,42.4975,"Fort Dodge, IA 50501, USA"
147,"iowacity",\N,\N,\N,\N,-91.5302,41.6611,"Iowa City, IA, USA"
148,"masoncity",\N,\N,\N,\N,-93.201,43.1536,"Mason City, IA 50401, USA"
149,"ottumwa",\N,\N,\N,\N,-92.4083,41.016,"Ottumwa, IA 52501, USA"
150,"quadcities",\N,\N,\N,\N,-90.5746,41.5214,"Davenport, IA, USA"
151,"siouxcity",\N,\N,\N,\N,-96.4003,42.5,"Sioux City, IA, USA"
152,"waterloo",\N,\N,\N,\N,-92.343,42.4928,"Waterloo, IA, USA"
153,"kansas",\N,\N,\N,\N,-98.4842,39.0119,"Kansas, USA"
154,"lawrence",\N,\N,\N,\N,-95.2353,38.9717,"Lawrence, KS, USA"
155,"manhattanks",\N,\N,\N,\N,-96.5717,39.1836,"Manhattan, KS, USA"
156,"topeka",\N,\N,\N,\N,-95.689,39.0558,"Topeka, KS, USA"
157,"wichita",\N,\N,\N,\N,-97.3361,37.6889,"Wichita, KS, USA"
158,"kentucky",\N,\N,\N,\N,-84.27,37.8393,"Kentucky, USA"
159,"bowlinggreen",\N,\N,\N,\N,-86.4436,36.9903,"Bowling Green, KY, USA"
160,"eastky",\N,\N,\N,\N,-82.8067,37.5165,"Eastern, KY, USA"
161,"lexington",\N,\N,\N,\N,-84.5037,38.0406,"Lexington, KY, USA"
162,"louisville",\N,\N,\N,\N,-85.7585,38.2527,"Louisville, KY, USA"
163,"owensboro",\N,\N,\N,\N,-87.1112,37.7719,"Owensboro, KY, USA"
164,"westky",\N,\N,\N,\N,-86.451,36.9876,"Bowling Green, USA"
165,"louisiana",\N,\N,\N,\N,-92.145,31.2448,"Louisiana, USA"
166,"alexandria",\N,\N,\N,\N,-92.4451,31.3113,"Alexandria, LA, USA"
167,"batonrouge",\N,\N,\N,\N,-91.1403,30.4583,"Baton Rouge, LA, USA"
168,"houma",\N,\N,\N,\N,-90.7195,29.5958,"Houma, LA, USA"
169,"lafayette",\N,\N,\N,\N,-92.0198,30.2241,"Lafayette, LA, USA"
170,"lakecharles",\N,\N,\N,\N,-93.2174,30.2266,"Lake Charles, LA, USA"
171,"monroe",\N,\N,\N,\N,-92.1193,32.5093,"Monroe, LA, USA"
172,"neworleans",\N,\N,\N,\N,-90.0715,29.9511,"New Orleans, LA, USA"
173,"shreveport",\N,\N,\N,\N,-93.7502,32.5252,"Shreveport, LA, USA"
174,"maine",\N,\N,\N,\N,-69.4455,45.2538,"Maine, USA"
175,"maryland",\N,\N,\N,\N,-76.6413,39.0458,"Maryland, USA"
176,"annapolis",\N,\N,\N,\N,-76.4922,38.9784,"Annapolis, MD, USA"
177,"baltimore",\N,\N,\N,\N,-76.6122,39.2904,"Baltimore, MD, USA"
178,"cumberlandvalley",\N,\N,\N,\N,-78.6342,39.811,"Cumberland Valley, PA, USA"
179,"easternshore",\N,\N,\N,\N,-75.5292,38.3678,"Salisbury, MD, USA"
180,"frederick",\N,\N,\N,\N,-77.4105,39.4143,"Frederick, MD, USA"
181,"westernmaryland",\N,\N,\N,\N,-76.6629,39.2923,"Western, Baltimore, MD, USA"
182,"massachusetts",\N,\N,\N,\N,-71.3824,42.4072,"Massachusetts, USA"
183,"boston",\N,\N,\N,\N,-71.0598,42.3584,"Boston, MA, USA"
184,"capecod",\N,\N,\N,\N,-70.3391,41.6729,"Cape Cod, MA, USA"
185,"southcoast",\N,\N,\N,\N,-70.9232,41.6353,"New Bedford, MA, USA"
186,"springfield",\N,\N,\N,\N,-72.5898,42.1015,"Springfield, MA, USA"
187,"worcester",\N,\N,\N,\N,-71.8023,42.2626,"Worcester, MA, USA"
188,"michigan",\N,\N,\N,\N,-85.6024,44.3148,"Michigan, USA"
189,"annarbor",\N,\N,\N,\N,-83.743,42.2808,"Ann Arbor, MI, USA"
190,"battlecreek",\N,\N,\N,\N,-85.1797,42.3212,"Battle Creek, MI, USA"
191,"centralmich",\N,\N,\N,\N,-83.9164,42.6199,"Central, Howell, MI 48843, USA"
192,"detroit",\N,\N,\N,\N,-83.0458,42.3314,"Detroit, MI, USA"
193,"flint",\N,\N,\N,\N,-83.6875,43.0125,"Flint, MI, USA"
194,"grandrapids",\N,\N,\N,\N,-85.6681,42.9634,"Grand Rapids, MI, USA"
195,"holland",\N,\N,\N,\N,-86.1089,42.7875,"Holland, MI, USA"
196,"jacksonmi",\N,\N,\N,\N,-84.4013,42.2459,"Jackson, MI, USA"
197,"kalamazoo",\N,\N,\N,\N,-85.5872,42.2917,"Kalamazoo, MI, USA"
198,"lansing",\N,\N,\N,\N,-84.5555,42.7325,"Lansing, MI, USA"
199,"monroemi",\N,\N,\N,\N,-83.3977,41.9164,"Monroe, MI, USA"
200,"muskegon",\N,\N,\N,\N,-86.2484,43.2342,"Muskegon, MI, USA"
