Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name
Chilmark Police Dept,LA,7,886.0,0.0,0,0.0,0,0,10.0,2,8.0,0,,,,,,,,,,chilmark
Claiborne Parish Sheriff Department,LA,12,,55.0,0,9.0,2,44,294.0,87,175.0,32,,,,,,,,,,claiborne parish
Clarence Police Dept,LA,12,501.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clarence
Clinton Police Dept,LA,12,1651.0,3.0,1,0.0,0,2,8.0,3,5.0,0,181.7,60.6,0.0,0.0,121.1,484.6,181.7,302.8,0.0,clinton
Clinton Police Dept,LA,12,13774.0,9.0,0,0.0,1,8,60.0,9,42.0,9,65.3,0.0,0.0,7.3,58.1,435.6,65.3,304.9,65.3,clinton
Cohasset Police Dept,LA,7,7663.0,3.0,1,0.0,0,2,42.0,15,24.0,3,,,,,,,,,,cohasset
Concord Police Dept,LA,12,17995.0,13.0,0,2.0,1,10,170.0,20,149.0,1,72.2,0.0,11.1,5.6,55.6,944.7,111.1,828.0,5.6,concord
Concordia Parish Sheriff Department,LA,12,,59.0,2,2.0,2,53,236.0,62,158.0,16,,,,,,,,,,concordia parish
Coushatta Police Dept,LA,12,1934.0,14.0,0,0.0,1,13,50.0,9,41.0,0,723.9,0.0,0.0,51.7,672.2,2585.3,465.4,2120.0,0.0,coushatta
Covington Police Dept,LA,12,8933.0,44.0,0,2.0,5,37,469.0,100,359.0,10,492.6,0.0,22.4,56.0,414.2,5250.2,1119.4,4018.8,111.9,covington
Crowley City Police Dept,LA,11,13388.0,57.0,4,4.0,16,33,279.0,92,156.0,31,,,,,,,,,,crowley city
Cullen Police Dept,LA,10,1171.0,8.0,0,0.0,0,8,1.0,1,0.0,0,,,,,,,,,,cullen
Dalton Police Dept,LA,12,6774.0,21.0,0,0.0,3,18,66.0,27,34.0,5,310.0,0.0,0.0,44.3,265.7,974.3,398.6,501.9,73.8,dalton
Danvers Police Dept,LA,12,26934.0,58.0,0,3.0,6,49,753.0,57,673.0,23,215.3,0.0,11.1,22.3,181.9,2795.7,211.6,2498.7,85.4,danvers
Dartmouth Police Dept,LA,12,34368.0,73.0,0,9.0,11,53,1011.0,193,802.0,16,212.4,0.0,26.2,32.0,154.2,2941.7,561.6,2333.6,46.6,dartmouth
Dequincy Police Dept,LA,12,3277.0,0.0,0,0.0,0,0,31.0,6,21.0,4,0.0,0.0,0.0,0.0,0.0,946.0,183.1,640.8,122.1,dequincy
Deridder Police Dept,LA,12,10774.0,69.0,0,3.0,2,64,200.0,45,155.0,0,640.4,0.0,27.8,18.6,594.0,1856.3,417.7,1438.6,0.0,deridder
De Soto Parish Sheriff Department,LA,12,,309.0,2,0.0,7,300,376.0,67,256.0,53,,,,,,,,,,de soto parish
Dedham Police Dept,LA,12,25116.0,19.0,0,0.0,8,11,623.0,60,536.0,27,75.6,0.0,0.0,31.9,43.8,2480.5,238.9,2134.1,107.5,dedham
Deerfield Police Dept,LA,12,5186.0,8.0,0,0.0,0,8,84.0,37,44.0,3,154.3,0.0,0.0,0.0,154.3,1619.7,713.5,848.4,57.8,deerfield
Denham Springs Police Dept,LA,12,10451.0,76.0,0,3.0,26,47,913.0,125,770.0,18,727.2,0.0,28.7,248.8,449.7,8736.0,1196.1,7367.7,172.2,denham springs
Dennis Police Dept,LA,12,14325.0,49.0,0,0.0,6,43,527.0,256,267.0,4,342.1,0.0,0.0,41.9,300.2,3678.9,1787.1,1863.9,27.9,dennis
Dighton Police Dept,LA,12,7157.0,10.0,0,0.0,0,10,49.0,16,27.0,6,139.7,0.0,0.0,0.0,139.7,684.6,223.6,377.3,83.8,dighton
Douglas Police Dept,LA,12,8576.0,11.0,0,4.0,0,7,50.0,25,23.0,2,128.3,0.0,46.6,0.0,81.6,583.0,291.5,268.2,23.3,douglas
Dover Police Dept,LA,12,5677.0,3.0,0,3.0,0,0,45.0,10,33.0,2,52.8,0.0,52.8,0.0,0.0,792.7,176.1,581.3,35.2,dover
Dracut Police Dept,LA,12,30032.0,14.0,0,2.0,8,4,311.0,77,212.0,22,46.6,0.0,6.7,26.6,13.3,1035.6,256.4,705.9,73.3,dracut
Dudley Police Dept,LA,12,11528.0,39.0,0,3.0,1,35,73.0,39,33.0,1,338.3,0.0,26.0,8.7,303.6,633.2,338.3,286.3,8.7,dudley
Dunstable Police Dept,LA,1,3242.0,1.0,0,1.0,0,0,2.0,0,2.0,0,,,,,,,,,,dunstable
Duxbury Police Dept,LA,12,15276.0,3.0,0,0.0,0,3,95.0,45,47.0,3,19.6,0.0,0.0,0.0,19.6,621.9,294.6,307.7,19.6,duxbury
East Baton Rouge Parish Sheriff Dept,LA,12,,371.0,18,6.0,237,110,8193.0,1802,6225.0,166,,,,,,,,,,east baton rouge parish
East Bridgewater Police Dept,LA,12,13989.0,24.0,0,1.0,2,21,217.0,53,158.0,6,171.6,0.0,7.1,14.3,150.1,1551.2,378.9,1129.5,42.9,east bridgewater
East Brookfld Police Dept,LA,12,2209.0,3.0,0,0.0,0,3,37.0,14,22.0,1,135.8,0.0,0.0,0.0,135.8,1675.0,633.8,995.9,45.3,east brookfld
East Feliciana Parish Sheriff Department,LA,12,,1.0,0,0.0,0,1,38.0,10,24.0,4,,,,,,,,,,east feliciana parish
East Longmeadow Police Dept,LA,12,15871.0,25.0,0,1.0,6,18,359.0,79,274.0,6,157.5,0.0,6.3,37.8,113.4,2262.0,497.8,1726.4,37.8,east longmeadow
Eastham Police Dept,LA,12,4997.0,8.0,0,1.0,0,7,126.0,24,98.0,4,160.1,0.0,20.0,0.0,140.1,2521.5,480.3,1961.2,80.0,eastham
Easthampton Police Dept,LA,12,16166.0,35.0,1,7.0,1,26,200.0,52,138.0,10,216.5,6.2,43.3,6.2,160.8,1237.2,321.7,853.6,61.9,easthampton
Easton Police Dept,LA,12,23342.0,31.0,0,5.0,6,20,259.0,81,162.0,16,132.8,0.0,21.4,25.7,85.7,1109.6,347.0,694.0,68.5,easton
Edgartown Police Dept,LA,11,4161.0,6.0,0,0.0,0,6,115.0,24,87.0,4,,,,,,,,,,edgartown
Egremont Police Dept,LA,12,1229.0,3.0,0,0.0,0,3,18.0,4,13.0,1,244.1,0.0,0.0,0.0,244.1,1464.6,325.5,1057.8,81.4,egremont
Epps Police Dept,LA,12,857.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,epps
Erath Police Dept,LA,12,2136.0,16.0,0,0.0,5,11,17.0,2,15.0,0,749.1,0.0,0.0,234.1,515.0,795.9,93.6,702.2,0.0,erath
Erving Police Dept,LA,12,1822.0,11.0,0,0.0,0,11,37.0,7,29.0,1,603.7,0.0,0.0,0.0,603.7,2030.7,384.2,1591.7,54.9,erving
Essex Police Dept,LA,12,3562.0,0.0,0,0.0,0,0,27.0,4,22.0,1,0.0,0.0,0.0,0.0,0.0,758.0,112.3,617.6,28.1,essex
Eunice Police Dept,LA,12,10481.0,116.0,1,7.0,7,101,594.0,201,379.0,14,1106.8,9.5,66.8,66.8,963.6,5667.4,1917.8,3616.1,133.6,eunice
Evangeline Parish Sheriff Department,LA,12,,9.0,0,3.0,2,4,362.0,75,287.0,0,,,,,,,,,,evangeline parish
Everett Police Dept,LA,12,42476.0,170.0,2,11.0,66,91,986.0,249,602.0,135,400.2,4.7,25.9,155.4,214.2,2321.3,586.2,1417.3,317.8,everett
Fairhaven Police Dept,LA,12,16033.0,50.0,1,2.0,11,36,421.0,83,323.0,15,311.9,6.2,12.5,68.6,224.5,2625.8,517.7,2014.6,93.6,fairhaven
Fall River Police Dept,LA,12,89753.0,954.0,2,52.0,262,638,2706.0,774,1659.0,273,1062.9,2.2,57.9,291.9,710.8,3014.9,862.4,1848.4,304.2,fall river
Falmouth Police Dept,LA,12,31794.0,129.0,0,11.0,16,102,1064.0,559,472.0,33,405.7,0.0,34.6,50.3,320.8,3346.5,1758.2,1484.6,103.8,falmouth
Farmerville Police Dept,LA,12,3884.0,22.0,0,0.0,2,20,235.0,65,164.0,6,566.4,0.0,0.0,51.5,514.9,6050.5,1673.5,4222.5,154.5,farmerville
Ferriday Police Dept,LA,12,3540.0,29.0,0,2.0,2,25,123.0,62,59.0,2,819.2,0.0,56.5,56.5,706.2,3474.6,1751.4,1666.7,56.5,ferriday
Fitchburg Police Dept,LA,12,40809.0,319.0,1,21.0,47,250,1086.0,307,734.0,45,781.7,2.5,51.5,115.2,612.6,2661.2,752.3,1798.6,110.3,fitchburg
Florien Police Dept,LA,12,645.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,florien
Folsom Police Dept,LA,12,729.0,0.0,0,0.0,0,0,21.0,4,15.0,2,0.0,0.0,0.0,0.0,0.0,2880.7,548.7,2057.6,274.3,folsom
Foxboro Police Dept,LA,7,17134.0,16.0,0,4.0,1,11,126.0,41,80.0,5,,,,,,,,,,foxboro
Framingham Police Dept,LA,12,69605.0,154.0,0,7.0,21,126,1238.0,254,884.0,100,221.2,0.0,10.1,30.2,181.0,1778.6,364.9,1270.0,143.7,framingham
Franklin Parish Sheriff Department,LA,12,,50.0,0,3.0,0,47,164.0,39,111.0,14,,,,,,,,,,franklin parish
Franklin Police Dept,LA,12,7645.0,73.0,0,1.0,9,63,413.0,108,304.0,1,954.9,0.0,13.1,117.7,824.1,5402.2,1412.7,3976.5,13.1,franklin
Franklin Police Dept,LA,12,32134.0,11.0,0,0.0,9,2,135.0,43,90.0,2,34.2,0.0,0.0,28.0,6.2,420.1,133.8,280.1,6.2,franklin
Franklinton Police Dept,LA,12,3877.0,19.0,0,2.0,1,16,156.0,39,114.0,3,490.1,0.0,51.6,25.8,412.7,4023.7,1005.9,2940.4,77.4,franklinton
Freetown Police Dept,LA,12,8960.0,12.0,0,0.0,2,10,200.0,75,111.0,14,133.9,0.0,0.0,22.3,111.6,2232.1,837.1,1238.8,156.3,freetown
French Settlement Police Dept,LA,12,1142.0,4.0,0,0.0,0,4,15.0,6,9.0,0,350.3,0.0,0.0,0.0,350.3,1313.5,525.4,788.1,0.0,french settlement
Gardner Police Dept,LA,12,20474.0,88.0,0,7.0,8,73,523.0,142,366.0,15,429.8,0.0,34.2,39.1,356.5,2554.5,693.6,1787.6,73.3,gardner
Georgetown Police Dept,LA,12,325.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,georgetown
Georgetown Police Dept,LA,11,8321.0,3.0,0,1.0,0,2,51.0,13,36.0,2,,,,,,,,,,georgetown
Gill Police Dept,LA,12,1518.0,0.0,0,0.0,0,0,19.0,10,9.0,0,0.0,0.0,0.0,0.0,0.0,1251.6,658.8,592.9,0.0,gill
Glenmora Police Dept,LA,12,1358.0,3.0,0,0.0,0,3,16.0,7,9.0,0,220.9,0.0,0.0,0.0,220.9,1178.2,515.5,662.7,0.0,glenmora
Gloucester Police Dept,LA,12,29272.0,27.0,0,4.0,0,23,416.0,40,372.0,4,92.2,0.0,13.7,0.0,78.6,1421.2,136.6,1270.8,13.7,gloucester
Golden Meadow Police Dept,LA,12,2121.0,2.0,0,1.0,0,1,2.0,1,1.0,0,94.3,0.0,47.1,0.0,47.1,94.3,47.1,47.1,0.0,golden meadow
Gonzales Police Dept,LA,12,10095.0,13.0,0,2.0,11,0,727.0,72,650.0,5,128.8,0.0,19.8,109.0,0.0,7201.6,713.2,6438.8,49.5,gonzales
Goshen Police Dept,LA,12,1062.0,0.0,0,0.0,0,0,4.0,3,1.0,0,0.0,0.0,0.0,0.0,0.0,376.6,282.5,94.2,0.0,goshen
Grafton Police Dept,LA,12,17986.0,22.0,0,1.0,1,20,116.0,40,69.0,7,122.3,0.0,5.6,5.6,111.2,644.9,222.4,383.6,38.9,grafton
Grambling Police Dept,LA,12,4987.0,18.0,0,0.0,1,17,86.0,83,2.0,1,360.9,0.0,0.0,20.1,340.9,1724.5,1664.3,40.1,20.1,grambling
Gramercy Police Dept,LA,12,3581.0,16.0,0,2.0,1,13,79.0,10,66.0,3,446.8,0.0,55.9,27.9,363.0,2206.1,279.3,1843.1,83.8,gramercy
Granby Police Dept,LA,12,6282.0,7.0,0,1.0,0,6,91.0,23,62.0,6,111.4,0.0,15.9,0.0,95.5,1448.6,366.1,986.9,95.5,granby
Grant Parish Sheriff Office,LA,11,,10.0,0,0.0,0,10,227.0,64,157.0,6,,,,,,,,,,grant parish
Granville Police Dept,LA,12,1581.0,0.0,0,0.0,0,0,13.0,4,9.0,0,0.0,0.0,0.0,0.0,0.0,822.3,253.0,569.3,0.0,granville
Great Barrington Police Dept,LA,6,7128.0,10.0,0,0.0,0,10,67.0,20,47.0,0,,,,,,,,,,great barrington
