county,county_fips,place,place_fips,state_fips,place,url,state
,,salina city,62700,20,Salina,gsalina,kansas
,,topeka city,71000,20,Topeka,gtopeka,kansas
wichita county,203,wichita city,79000,20,Wichita,gwichita,kansas
,,bowling green city,8902,21,Bowling Green,gbowlinggreen,kentucky
,,,,21,Eastern Kentucky,geastky,kentucky
,,,,21,Lexington,glexington,kentucky
,,,,21,Louisville,glouisville,kentucky
,,owensboro city,58620,21,Owensboro,gowensboro,kentucky
,,,,21,Western Kentucky,gwestky,kentucky
,,alexandria city,975,22,Alexandria,galexandria,louisiana
,,baton rouge city,5000,22,Baton Rouge,gbatonrouge,louisiana
,,houma city,36255,22,Houma,ghouma,louisiana
lafayette parish,055,lafayette city,40735,22,Lafayette,glafayette,louisiana
,,lake charles city,41155,22,Lake Charles,glakecharles,louisiana
,,monroe city,51410,22,Monroe,gmonroe,louisiana
,,new orleans city,55000,22,New Orleans,gneworleans,louisiana
,,shreveport city,70000,22,Shreveport,gshreveport,louisiana
,,annapolis city,1600,24,Annapolis,gannapolis,maryland
baltimore county,005,baltimore city,4000,24,Baltimore,gbaltimore,maryland
,,,,24,Cumberland Valley,gcumberlandvalley,maryland
,,,,24,Eastern Shore,geasternshore,maryland
frederick county,021,frederick city,30325,24,Frederick,gfrederick,maryland
,,,,24,Western Maryland,gwesternmaryland,maryland
,,boston city,9460,,Boston,gboston,massachasutts
,,,,,Cape Cod,gcapecod,massachasutts
,,,,,South Coast,gsouthcoast,massachasutts
,,springfield town,73330,,Springfield,gspringfield,massachasutts
worcester county,047,worcester city,82000,,Worcester,gworcester,massachasutts
,,ann arbor city,3000,26,Ann Arbor,gannarbor,michigan
,,battle creek city,5920,26,Battle Creek,gbattlecreek,michigan
,,,,26,Central Michigan,gcentralmich,michigan
,,detroit city,22000,26,Detroit,gdetroit,michigan
,,flint city,29000,26,Flint,gflint,michigan
,,grand rapids city,34000,26,Grand Rapids,ggrandrapids,michigan
,,holland township,38620,26,Holland,gholland,michigan
jackson county,075,jackson city,41420,26,Jackson,gjacksonmi,michigan
kalamazoo county,077,kalamazoo city,42160,26,Kalamazoo,gkalamazoo,michigan
,,lansing city,46000,26,Lansing,glansing,michigan
monroe county,115,monroe city,55020,26,Monroe,gmonroemi,michigan
muskegon county,121,muskegon city,56320,26,Muskegon,gmuskegon,michigan
,,,,26,Northern Michigan,gnorthernmichigan,michigan
,,port huron city,65820,26,Port Huron,gporthuron,michigan
saginaw county,145,saginaw city,70520,26,Saginaw,gsaginaw,michigan
,,,,26,Southwest Michigan,gswmi,michigan
,,,,26,Upper Peninsula,gup,michigan
,,bemidji city,5068,27,Bemidji,gbemidji,minnesota
,,brainerd city,7300,27,Brainerd,gbrainerd,minnesota
,,duluth city,17000,27,Duluth,gduluth,minnesota
,,mankato city,39878,27,Mankato,gmankato,minnesota
,,,,27,Minneapolis / St Paul,gminneapolis,minnesota
,,rochester city,54880,27,Rochester,grochestermn,minnesota
,,st. cloud city,56896,27,St. Cloud,gstcloud,minnesota
,,biloxi city,6220,28,Biloxi,gbiloxi,mississippi
,,hattiesburg city,31020,28,Hattiesburg,ghattiesburg,mississippi
jackson county,059,jackson city,36000,28,Jackson,gjackson,mississippi
,,meridian city,46640,28,Meridian,gmeridian,mississippi
,,natchez city,50440,28,Natchez,gnatchez,mississippi
,,,,28,North Mississippi,gnorthmiss,mississippi
,,,,29,Columbia/Jeff City,gcolumbiamo,missouri
,,joplin city,37592,29,Joplin,gjoplin,missouri
,,kansas city city,38000,29,Kansas City,gkc,missouri
,,kirksville city,39026,29,Kirksville,gkirksville,missouri
,,,,29,Lake of the Ozarks,gloz,missouri
,,,,29,Southeast Missouri,gsemo,missouri
,,springfield city,70000,29,Springfield,gspringfieldmo,missouri
,,st. joseph city,64550,29,St. Joseph,gstjoseph,missouri
st. louis county,189,st. louis city,65000,29,St. Louis,gstlouis,missouri
,,billings city,6550,30,Billings,gbillings,montana
,,bozeman city,8950,30,Bozeman,gbozeman,montana
,,,,30,Butte,gbutte,montana
,,great falls city,32800,30,Great Falls,ggreatfalls,montana
,,helena city,35600,30,Helena,ghelena,montana
,,kalispell city,40075,30,Kalispell,gkalispell,montana
missoula county,063,missoula city,50200,30,Missoula,gmissoula,montana
,,grand island city,19595,31,Grand Island,ggrandisland,nebraska
lincoln county,111,lincoln city,28000,31,Lincoln,glincoln,nebraska
,,north platte city,35000,31,North Platte,gnorthplatte,nebraska
,,omaha city,37000,31,Omaha,gomaha,nebraska
,,scottsbluff city,44245,31,Scottsbluff,gscottsbluff,nebraska
elko county,007,elko city,22500,32,Elko,gelko,nevada
,,las vegas city,40000,32,Las Vegas,glasvegas,nevada
,,reno city,60600,32,Reno,greno,nevada
,,,,34,Central Jersey,gcentraljersey,new jersey
,,,,34,Jersey Shore,gjerseyshore,new jersey
,,,,34,North Jersey,gnorthjersey,new jersey
,,,,34,South Jersey,gsouthjersey,new jersey
,,albuquerque city,2000,35,Albuquerque,galbuquerque,new mexico
,,,,35,Clovis / Portales,gclovis,new mexico
,,farmington city,25800,35,Farmington,gfarmington,new mexico
,,las cruces city,39380,35,Las Cruces,glascruces,new mexico
,,,,35,Roswell / Carlsbad,groswell,new mexico
santa fe county,049,santa fe city,70500,35,Santa Fe,gsantafe,new mexico
albany county,001,albany city,1000,36,Albany,galbany,new york
,,binghamton city,6607,36,Binghamton,gbinghamton,new york
bronx county,005,bronx borough,8510,36,Bronx,gbronx,new york
,,brooklyn borough,10022,36,Brooklyn,gbrooklyn,new york
,,buffalo city,11000,36,Buffalo,gbuffalo,new york
,,,,36,Catskills,gcatskills,new york
chautauqua county,013,chautauqua cdp,14058,36,Chautauqua,gchautauqua,new york
,,elmira city,24229,36,Elmira,gelmira,new york
,,fairfield town,24933,36,Fairfield,gfairfield,new york
,,,,36,Finger Lakes,gfingerlakes,new york
,,glens falls city,29333,36,Glens Falls,gglensfalls,new york
,,,,36,Hudson Valley,ghudsonvalley,new york
,,ithaca city,38077,36,Ithaca,githaca,new york
,,,,36,Long Island,glongisland,new york
,,manhattan borough,44919,36,Manhattan,gmanhattan,new york
,,oneonta city,54881,36,Oneonta,goneonta,new york
,,plattsburgh city,58574,36,Plattsburgh,gplattsburgh,new york
,,potsdam village,59564,36,Potsdam,gpotsdam,new york
queens county,081,queens borough,60323,36,Queens,gqueens,new york
,,rochester city,63000,36,Rochester,grochester,new york
,,staten island borough,70915,36,Staten Island,gstatenisland,new york
,,syracuse city,73000,36,Syracuse,gsyracuse,new york
,,,,36,Twin Tiers,gtwintiers,new york
,,utica city,76540,36,Utica,gutica,new york
,,watertown city,78608,36,Watertown,gwatertown,new york
westchester county,119,,,36,Westchester,gwestchester,new york
,,asheville city,2140,37,Asheville,gasheville,north carolina
,,boone town,7080,37,Boone,gboone,north carolina
,,charlotte city,12000,37,Charlotte,gcharlotte,north carolina
,,,,37,Eastern,geasternnc,north carolina
,,fayetteville city,22920,37,Fayetteville,gfayettevillenc,north carolina
,,greensboro city,28000,37,Greensboro,ggreensboro,north carolina
,,hickory city,31060,37,Hickory,ghickory,north carolina
,,,,37,Outer Banks,gouterbanks,north carolina
,,raleigh city,55000,37,Raleigh,graleigh,north carolina
,,wilmington city,74440,37,Wilmington,gwilmington,north carolina
,,,,37,Winston Salem,gwinstonsalem,north carolina
,,bismarck city,7200,38,Bismarck,gbismarck,north dakota
,,fargo city,25700,38,Fargo,gfargo,north dakota
grand forks county,035,grand forks city,32060,38,Grand Forks,ggrandforks,north dakota
,,minot city,53380,38,Minot,gminot,north dakota
,,,,39,Akron/Canton,gakroncanton,ohio
ashtabula county,007,ashtabula city,2638,39,Ashtabula,gashtabula,ohio
athens county,009,athens city,2736,39,Athens,gathensoh,ohio
,,chillicothe city,14184,39,Chillicothe,gchillicothe,ohio
,,cincinnati city,15000,39,Cincinnati,gcincinnati,ohio
,,cleveland city,16000,39,Cleveland,gcleveland,ohio
,,columbus city,18000,39,Columbus,gcolumbus,ohio
,,dayton city,21000,39,Dayton,gdayton,ohio
,,,,39,Huntington/Ashland,ghuntingtonoh,ohio
,,,,39,Lima/Findlay,glimaoh,ohio
,,mansfield city,47138,39,Mansfield,gmansfield,ohio
sandusky county,143,sandusky city,70380,39,Sandusky,gsandusky,ohio
,,toledo city,77000,39,Toledo,gtoledo,ohio
,,,,39,Tuscarawas County,gtuscarawas,ohio
,,youngstown city,88000,39,Youngstown,gyoungstown,ohio
,,,,39,Zanesville/Cambridge,gzanesville,ohio
,,lawton city,41850,40,Lawton,glawton,oklahoma
,,oklahoma city city,55000,40,Oklahoma City,goklahomacity,oklahoma
,,stillwater city,70300,40,Stillwater,gstillwater,oklahoma
tulsa county,143,tulsa city,75000,40,Tulsa,gtulsa,oklahoma
,,bend city,5800,41,Bend,gbend,oregon
,,corvallis city,15800,41,Corvallis,gcorvallis,oregon
,,,,41,East Oregon,geastoregon,oregon
,,eugene city,23850,41,Eugene,geugene,oregon
,,klamath falls city,39700,41,Klamath Falls,gklamath,oregon
,,medford city,47000,41,Medford,gmedford,oregon
,,,,41,Oregon Coast,goregoncoast,oregon
,,portland city,59000,41,Portland,gportland,oregon
,,roseburg city,63650,41,Roseburg,groseburg,oregon
,,salem city,64900,41,Salem,gsalem,oregon
,,allentown city,2000,42,Allentown,gallentown,pennsylvania
,,altoona city,2184,42,Altoona,galtoona,pennsylvania
,,cumberland valley township,17664,42,Cumberland Valley,gchambersburg,pennsylvania
erie county,049,erie city,24000,42,Erie,gerie,pennsylvania
,,harrisburg city,32800,42,Harrisburg,gharrisburg,pennsylvania
lancaster county,071,lancaster township,41208,42,Lancaster,glancaster,pennsylvania
,,meadville city,48360,42,Meadville,gmeadville,pennsylvania
philadelphia county,101,philadelphia city,60000,42,Philadelphia,gphiladelphia,pennsylvania
,,pittsburgh city,61000,42,Pittsburgh,gpittsburgh,pennsylvania
,,,,42,Poconos,gpoconos,pennsylvania
,,reading township,63616,42,Reading,greading,pennsylvania
,,scranton city,69000,42,Scranton,gscranton,pennsylvania
,,state college borough,73808,42,State College,gpennstate,pennsylvania
,,williamsport city,85312,42,Williamsport,gwilliamsport,pennsylvania
york county,133,york city,87048,42,York,gyork,pennsylvania
charleston county,019,charleston city,13330,45,Charleston,gcharleston,south carolina
,,columbia city,16000,45,Columbia,gcolumbia,south carolina
florence county,041,florence city,25810,45,Florence,gflorence,south carolina
greenville county,045,greenville city,30850,45,Greenville,ggreenville,south carolina
,,,,45,Hilton Head,ghiltonhead,south carolina
,,myrtle beach city,49075,45,Myrtle Beach,gmyrtlebeach,south carolina
,,aberdeen city,100,46,Aberdeen,gaberdeen-sd,south dakota
,,pierre city,49600,46,Pierre,gpierre,south dakota
,,rapid city city,52980,46,Rapid City,grapidcity,south dakota
,,sioux falls city,59020,46,Sioux Falls,gsiouxfalls,south dakota
,,chattanooga city,14000,47,Chattanooga,gchattanooga,tennessee
,,clarksville city,15160,47,Clarksville,gclarksville,tennessee
,,cookeville city,16920,47,Cookeville,gcookeville,tennessee
,,knoxville city,40000,47,Knoxville,gknoxville,tennessee
,,memphis city,48000,47,Memphis,gmemphis,tennessee
,,,,47,Nashville,gnashville,tennessee
,,,,47,Tri-cities,gtricities,tennessee
,,abilene city,1000,48,Abilene,gabilene,texas
,,amarillo city,3000,48,Amarillo,gamarillo,texas
austin county,015,austin city,5000,48,Austin,gaustin,texas
,,beaumont city,7000,48,Beaumont,gbeaumont,texas
,,brownsville city,10768,48,Brownsville,gbrownsville,texas
,,college station city,15976,48,College Station,gcollegestation,texas
,,corpus christi city,17000,48,Corpus Christi,gcorpuschristi,texas
dallas county,113,dallas city,19000,48,Dallas,gdallas,texas
,,del rio city,19792,48,Del Rio,gdelrio,texas
denton county,121,denton city,19972,48,Denton,gdenton,texas
el paso county,141,el paso city,24000,48,El Paso,gelpaso,texas
,,fort worth city,27000,48,Fort Worth,gfortworth,texas
galveston county,167,galveston city,28068,48,Galveston,ggalveston,texas
houston county,225,houston city,35000,48,Houston,ghouston,texas
,,huntsville city,35528,48,Huntsville,ghuntsvilletx,texas
,,killeen city,39148,48,Killeen,gkilleen,texas
,,laredo city,41464,48,Laredo,glaredo,texas
lubbock county,303,lubbock city,45000,48,Lubbock,glubbock,texas
,,mcallen city,45384,48,Mcallen,gmcallen,texas
,,,,48,mid cities,garlington,texas
,,odessa city,53388,48,Odessa,godessa,texas
,,san antonio city,65000,48,San Antonio,gsanantonio,texas
,,san marcos city,65600,48,San Marcos,gsanmarcos,texas
,,texarkana city,72368,48,Texarkana,gtexarkana,texas
,,,,48,Texoma,gtexoma,texas
tyler county,457,tyler city,74144,48,Tyler,gtyler,texas
victoria county,469,victoria city,75428,48,Victoria,gvictoriatx,texas
,,waco city,76000,48,Waco,gwaco,texas
,,wichita falls city,79000,48,Wichita Falls,gwichitafalls,texas
,,logan city,45860,49,Logan,glogan,utah
,,ogden city,55980,49,Ogden,gogden,utah
,,provo city,62470,49,Provo,gprovo,utah
,,salt lake city city,67000,49,Salt Lake City,gsaltlakecity,utah
,,st. george city,65330,49,St. George,gstgeorge,utah
charlottesville city,540,charlottesville city,14968,51,Charlottesville,gcharlottesville,virginia
chesapeake city,550,chesapeake city,16000,51,Chesapeake,gchesapeake,virginia
danville city,590,danville city,21344,51,Danville,gdanville,virginia
